,total_points,was_home,kickoff_time,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out,name,cost,position,team,GW,match_result,opponent,last_season_position,opponent_last_season_position,percent_value,position rank,goals_scored_ex,assists_ex,total_points_ex,minutes_ex,goals_conceded_ex,creativity_ex,influence_ex,threat_ex,bonus_ex,bps_ex,ict_index_ex,clean_sheets_ex,red_cards_ex,yellow_cards_ex,selected_by_percent_ex,now_cost_ex,element_type_ex,season,mean assists 3,mean bonus 3,mean bps 3,mean clean_sheets 3,mean creativity 3,mean goals_conceded 3,mean goals_scored 3,mean ict_index 3,mean influence 3,mean minutes 3,mean own_goals 3,mean penalties_missed 3,mean penalties_saved 3,mean red_cards 3,mean saves 3,mean selected 3,mean threat 3,mean total_points 3,mean transfers_in 3,mean transfers_out 3,mean value 3,mean match_result 3,std bps 3,std creativity 3,std ict_index 3,std influence 3,std minutes 3,std selected 3,std threat 3,std total_points 3,std transfers_in 3,std transfers_out 3,std value 3
135,,False,2023-08-19T14:00:00Z,,,,,,,,,,,,,,,,,,45,,,,,Aaron Connolly,,FWD,Brighton,2,,Wolves,6,13,2.7027027027027026,4,,,,,,,,,,,,,,,,,,2023-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5621.0,0.0,0.0,0.0,0.0,45.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
616,,True,2023-08-20T15:30:00Z,,,,,,,,,,,,,,,,,,45,,,,,Aaron Cresswell,,DEF,West Ham,2,,Chelsea,14,12,3.4482758620689653,0,0.0,1.0,74.0,2235.0,32.0,632.9,411.6,81.0,8.0,439.0,113.0,6.0,0.0,3.0,1.5,47.0,DEF,2023-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85483.0,0.0,0.0,0.0,0.0,45.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,,False,2023-08-19T14:00:00Z,,,,,,,,,,,,,,,,,,45,,,,,Aaron Hickey,,DEF,Brentford,2,,Fulham,9,10,2.803738317757009,1,0.0,3.0,63.0,1918.0,30.0,119.8,223.6,98.0,2.0,310.0,44.2,5.0,0.0,7.0,0.3,49.0,DEF,2023-24,0.0,0.0,7.0,0.0,10.8,2.0,0.0,2.6,11.0,71.0,0.0,0.0,0.0,0.0,0.0,26398.0,4.0,0.0,0.0,0.0,45.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,,False,2023-08-21T19:00:00Z,,,,,,,,,,,,,,,,,,50,,,,,Aaron Ramsdale,,GKP,Arsenal,2,,Crystal Palace,2,11,2.7917364600781687,0,0.0,0.0,143.0,3420.0,43.0,0.0,761.4,0.0,9.0,664.0,76.2,14.0,0.0,1.0,11.4,48.0,GK,2023-24,0.0,0.0,10.0,0.0,0.0,1.0,0.0,1.3,12.6,90.0,0.0,0.0,0.0,0.0,1.0,1510016.0,0.0,2.0,0.0,0.0,50.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
458,,False,2023-08-19T16:30:00Z,,,,,,,,,,,,,,,,,,45,,,,,Aaron Wan-Bissaka,,DEF,Man Utd,2,,Spurs,3,8,2.459016393442623,4,0.0,0.0,67.0,1432.0,10.0,221.9,290.4,143.0,3.0,308.0,65.5,8.0,0.0,2.0,1.8,43.0,DEF,2023-24,1.0,3.0,40.0,1.0,33.7,0.0,0.0,8.2,42.4,90.0,0.0,0.0,0.0,0.0,0.0,122037.0,6.0,12.0,0.0,0.0,45.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
276,,False,2023-08-20T13:00:00Z,,,,,,,,,,,,,,,,,,55,,,,,Abdoulaye Doucouré,,MID,Everton,2,,Aston Villa,17,7,3.7162162162162162,0,5.0,2.0,76.0,1527.0,27.0,261.2,315.8,229.0,10.0,263.0,80.3,4.0,1.0,6.0,0.2,53.0,MID,2023-24,0.0,0.0,7.0,0.0,34.4,1.0,0.0,6.8,8.8,90.0,0.0,0.0,0.0,0.0,0.0,18521.0,25.0,2.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
209,,False,2023-08-20T15:30:00Z,,,,,,,,,,,,,,,,,,40,,,,,Abdul Rahman Baba,,DEF,Chelsea,2,,West Ham,12,14,1.9221528111484862,12,,,,,,,,,,,,,,,,,,2023-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,541.0,0.0,0.0,0.0,0.0,40.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
550,,False,2023-08-18T18:45:00Z,,,,,,,,,,,,,,,,,,40,,,,,Adam Davies,,GKP,Sheffield Utd,2,,Nott'm Forest,20,16,2.888086642599278,1,,,,,,,,,,,,,,,,,,2023-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17210.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146,,False,2023-08-19T14:00:00Z,,,,,,,,,,,,,,,,,,50,,,,,Adam Lallana,,MID,Brighton,2,,Wolves,6,13,3.003003003003003,4,2.0,1.0,47.0,717.0,10.0,186.7,144.2,152.0,4.0,146.0,48.5,5.0,0.0,0.0,0.1,48.0,MID,2023-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6587.0,0.0,0.0,0.0,0.0,50.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,,False,2023-08-19T14:00:00Z,,,,,,,,,,,,,,,,,,45,,,,,Adam Smith,,DEF,Bournemouth,2,,Liverpool,15,5,2.8846153846153846,0,0.0,1.0,74.0,2940.0,58.0,261.6,406.2,88.0,5.0,400.0,75.7,7.0,0.0,11.0,0.2,43.0,DEF,2023-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2685.0,0.0,0.0,0.0,0.0,45.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
