,element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out,id,name,cost,position,home_team,away_team,team_x
0,1,62,Bournemouth,0,False,2023-09-30T14:00:00Z,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,44,-3132,29679,0,3132,1,Folarin Balogun,44,FWD,Bournemouth,Arsenal,Arsenal
1,2,62,Bournemouth,0,False,2023-09-30T14:00:00Z,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,39,840,39333,3081,2241,2,Cédric Alves Soares,39,DEF,Bournemouth,Arsenal,Arsenal
2,3,62,Bournemouth,0,False,2023-09-30T14:00:00Z,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,44,617,7959,1243,626,3,Mohamed Elneny,44,MID,Bournemouth,Arsenal,Arsenal
3,4,62,Bournemouth,1,False,2023-09-30T14:00:00Z,0,4,7,14,0,0,0,0,0,0,0,0,0,0,0,2,4.4,16.0,0.0,2.0,0,0.00,0.03,0.03,0.00,54,130,14358,2573,2443,4,Fábio Ferreira Vieira,54,MID,Bournemouth,Arsenal,Arsenal
4,5,62,Bournemouth,6,False,2023-09-30T14:00:00Z,0,4,7,90,0,0,1,0,0,0,0,0,0,0,0,25,24.8,0.3,0.0,2.5,1,0.00,0.00,0.00,0.69,47,-21721,1281517,54236,75957,5,Gabriel dos Santos Magalhães,47,DEF,Bournemouth,Arsenal,Arsenal
5,6,62,Bournemouth,7,False,2023-09-30T14:00:00Z,0,4,7,80,1,0,1,0,0,0,0,1,0,0,0,18,39.6,3.5,26.0,6.9,1,0.82,0.02,0.84,0.69,71,-11888,170271,4545,16433,6,Kai Havertz,71,MID,Bournemouth,Arsenal,Arsenal
6,8,62,Bournemouth,5,False,2023-09-30T14:00:00Z,0,4,7,90,0,1,1,0,0,0,0,0,0,0,0,20,9.4,35.2,20.0,6.5,1,0.11,0.19,0.30,0.69,80,61954,408882,92182,30228,8,Gabriel Fernando de Jesus,80,FWD,Bournemouth,Arsenal,Arsenal
7,9,62,Bournemouth,1,False,2023-09-30T14:00:00Z,0,4,7,9,0,0,0,0,0,0,0,0,0,0,0,3,4.0,1.3,0.0,0.5,0,0.00,0.01,0.01,0.00,54,280,18830,1240,960,9,Jorge Luiz Frello Filho,54,MID,Bournemouth,Arsenal,Arsenal
8,10,62,Bournemouth,0,False,2023-09-30T14:00:00Z,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,44,-233,9083,262,495,10,Jakub Kiwior,44,DEF,Bournemouth,Arsenal,Arsenal
9,11,62,Bournemouth,0,False,2023-09-30T14:00:00Z,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,-295,5453,0,295,11,Marcus Oliveira Alencar,45,MID,Bournemouth,Arsenal,Arsenal
