,season_name,element_code,start_cost,end_cost,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,name
0,2021/22,58822,45,42,48,1481,1,1,3,27,0,0,0,3,0,0,3,292,318.4,327.1,111.0,75.8,Cédric Alves Soares
1,2021/22,80201,50,45,10,360,0,0,1,9,0,0,0,0,0,10,0,69,85.0,0.0,0.0,8.5,Bernd Leno
2,2021/22,84450,50,48,60,2327,1,2,6,38,0,0,0,10,1,0,3,334,395.4,522.9,262.0,118.2,Granit Xhaka
3,2021/22,153256,45,44,27,801,0,2,0,17,0,0,0,1,0,0,0,156,163.2,131.5,49.0,34.4,Mohamed Elneny
4,2021/22,156074,45,41,29,840,1,0,2,16,0,0,0,2,1,0,2,152,253.0,8.6,49.0,31.1,Rob Holding
5,2021/22,167199,50,50,71,2027,2,2,10,25,0,0,0,6,0,0,4,345,359.6,275.5,394.0,103.0,Thomas Partey
6,2021/22,184029,55,56,131,2782,7,4,11,39,0,0,0,4,0,0,9,541,676.6,1073.2,639.0,238.2,Martin Ødegaard
7,2021/22,192895,50,49,106,1916,1,3,11,21,0,0,0,0,0,0,11,454,365.2,335.9,198.0,90.1,Kieran Tierney
8,2021/22,209289,55,57,125,1909,10,2,8,28,0,0,0,1,0,0,9,435,555.8,453.3,576.0,158.4,Emile Smith Rowe
9,2021/22,223340,65,67,179,2978,11,9,13,39,0,0,0,6,0,0,18,566,790.4,977.8,1434.0,320.0,Bukayo Saka
10,2021/22,223723,45,45,75,1680,0,1,9,20,0,0,0,2,0,0,5,344,312.4,240.9,110.0,66.4,Takehiro Tomiyasu
11,2021/22,225321,45,51,135,3060,0,0,12,39,0,0,0,1,0,90,14,641,690.2,1.0,0.0,69.0,Aaron Ramsdale
12,2021/22,154043,55,52,12,263,0,0,2,4,0,0,0,0,0,0,0,44,42.6,41.3,9.0,9.3,Ainsley Maitland-Niles
13,2021/22,198849,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Lucas Torreira di Pascua
14,2021/22,200641,50,50,1,19,0,0,0,1,0,0,0,0,0,0,0,4,4.0,11.6,20.0,3.6,Reiss Nelson
15,2021/22,462424,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,William Saliba
16,2021/22,205651,85,86,120,1871,8,8,11,15,0,0,0,1,0,0,16,488,567.4,530.9,1126.0,222.3,Gabriel Fernando de Jesus
17,2021/22,206325,55,53,59,1044,0,4,5,9,0,0,0,0,0,0,4,284,259.4,282.1,111.0,65.4,Oleksandr Zinchenko
18,2021/22,84583,70,71,83,1327,5,3,7,17,0,0,0,0,0,0,7,283,360.8,349.3,445.0,115.7,Philippe Coutinho Correia
19,2021/22,84939,80,77,106,1891,7,6,10,26,0,0,0,4,0,0,12,344,448.6,210.9,749.0,140.3,Danny Ings
20,2021/22,98980,55,55,129,3240,0,0,11,48,0,1,0,4,0,95,7,651,755.8,0.0,0.0,75.4,Emiliano Martínez Romero
21,2021/22,101184,45,42,42,999,1,0,4,16,0,0,0,1,0,0,2,198,250.6,53.1,63.0,36.7,Calum Chambers
22,2021/22,101188,55,50,83,2440,0,4,7,42,1,0,0,6,0,0,8,459,538.8,772.7,202.0,151.6,Lucas Digne
23,2021/22,110504,60,57,13,212,0,1,0,3,0,0,0,0,0,0,0,41,21.0,10.6,90.0,11.8,Bertrand Traoré
24,2021/22,111782,40,40,1,90,0,0,0,3,0,0,0,0,0,2,0,14,18.8,0.0,0.0,1.9,Robin Olsen
25,2021/22,122775,50,50,13,349,0,0,0,8,0,0,0,0,0,0,0,61,52.8,36.6,3.0,9.4,Morgan Sanson
26,2021/22,122806,60,56,110,3090,3,4,10,48,0,0,0,8,0,0,12,495,700.2,777.8,307.0,178.6,John McGinn
27,2021/22,123354,45,44,20,397,1,0,1,9,0,0,0,0,0,0,3,89,102.8,5.9,64.0,17.3,Kortney Hause
28,2021/22,149484,50,50,118,3188,1,4,11,49,0,0,0,11,0,0,12,596,667.2,130.9,309.0,110.6,Tyrone Mings
29,2021/22,178301,75,75,131,2950,11,3,10,48,0,0,0,7,0,0,17,441,613.8,469.6,1345.0,242.9,Ollie Watkins
30,2021/22,184704,45,44,22,899,0,0,2,20,0,0,0,5,0,0,0,124,139.2,42.2,0.0,18.3,Marvelous Nakamba
31,2021/22,195546,65,61,107,1887,4,6,7,32,0,0,0,1,0,0,8,378,482.8,660.5,531.0,167.8,Emiliano Buendía Stati
32,2021/22,199796,50,53,147,3377,4,3,13,50,0,0,0,8,0,0,11,623,754.8,432.1,534.0,172.1,Matty Cash
33,2021/22,199798,50,49,78,2477,2,0,8,43,0,0,0,4,2,0,4,388,428.2,56.5,251.0,73.4,Ezri Konsa Ngoyo
34,2021/22,215711,65,63,37,750,1,3,2,13,0,0,0,3,0,0,1,98,143.2,118.5,271.0,53.2,Leon Bailey
35,2021/22,230046,45,43,89,2715,2,3,10,38,0,0,0,7,0,0,3,468,503.2,547.9,199.0,125.1,Douglas Luiz Soares de Paulo
36,2021/22,232653,45,47,109,2465,6,1,12,35,0,0,0,6,0,0,9,402,538.2,334.0,432.0,130.7,Jacob Ramsey
37,2021/22,478912,45,45,16,291,0,1,0,6,0,0,0,0,0,0,0,43,44.0,34.6,69.0,14.9,Carney Chukwuemeka
38,2021/22,490094,45,45,4,90,0,0,1,0,0,0,0,1,0,0,0,17,10.6,2.0,4.0,1.7,Tim Iroegbunam
39,2021/22,193488,60,56,22,392,1,1,1,8,0,0,0,2,0,0,1,61,74.6,85.2,85.0,24.4,Anwar El Ghazi
40,2021/22,221239,45,45,1,11,0,0,0,0,0,0,0,0,0,0,0,2,0.4,1.0,0.0,0.1,Keinan Davis
41,2021/22,433979,45,45,3,24,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.8,18.0,1.6,Cameron Archer
42,2021/22,481624,50,50,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Jaden Philogene-Bidace
43,2021/22,203368,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Frédéric Guilbert
44,2019/20,54469,45,43,49,2055,0,1,4,40,0,0,0,7,0,0,3,309,309.6,183.0,97.0,58.8,Adam Smith
45,2019/20,56872,60,58,42,706,3,1,1,17,0,0,0,1,0,0,2,155,179.0,185.4,241.0,60.7,Junior Stanislas
46,2021/22,81012,45,44,7,303,0,0,0,6,0,0,0,1,0,0,0,38,29.6,31.6,4.0,6.6,Ryan Fredericks
47,2019/20,111317,65,61,21,505,1,0,1,12,0,0,0,1,0,0,1,73,82.2,100.8,71.0,25.4,David Brooks
48,2019/20,152551,50,48,65,2702,1,2,4,49,0,0,0,11,1,0,2,376,439.0,189.4,169.0,79.4,Jefferson Lerma Solís
49,2019/20,154131,45,43,39,1547,0,2,1,27,0,0,0,2,0,0,4,241,308.8,147.2,86.0,54.3,Jack Stacey
50,2019/20,154566,55,51,69,1637,3,2,1,39,0,0,0,1,0,0,3,177,223.2,202.5,569.0,99.4,Dominic Solanke
51,2019/20,155408,50,50,40,1340,0,1,2,30,0,0,0,5,0,0,0,183,187.8,183.1,68.0,43.8,Lewis Cook
52,2019/20,168991,50,49,68,2526,1,1,5,41,0,0,0,8,0,0,5,347,545.4,239.8,342.0,112.9,Philip Billing
53,2019/20,223911,45,43,27,911,1,0,1,19,0,0,0,1,0,0,2,165,276.8,20.8,138.0,43.7,Chris Mepham
54,2019/20,229600,45,42,1,90,0,0,0,3,0,0,0,0,0,2,0,9,15.2,0.0,0.0,1.5,Mark Travers
55,2019/20,235530,45,44,11,638,0,0,1,15,0,0,0,2,0,0,0,85,73.4,28.4,20.0,12.2,Lloyd Kelly
56,2015/16,156685,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Joe Rothwell
57,2021/22,61810,45,45,122,3321,3,4,8,56,0,0,0,7,0,0,13,616,782.0,67.2,476.0,133.0,Pontus Jansson
58,2021/22,128295,50,50,101,3054,3,4,8,51,0,0,0,8,0,0,5,502,694.8,409.8,434.0,154.3,Christian Nørgaard
59,2021/22,144485,65,69,139,2908,12,5,8,47,0,0,0,8,0,0,19,502,717.8,573.6,1320.0,260.7,Ivan Toney
60,2021/22,154561,45,44,95,2160,0,0,8,27,0,0,0,1,0,78,5,496,593.4,10.0,0.0,60.1,David Raya Martin
61,2021/22,174932,55,55,81,2077,3,3,8,36,1,0,0,6,1,0,5,268,386.4,283.6,439.0,111.0,Sergi Canós Tenés
62,2021/22,183656,55,53,7,250,0,0,0,6,0,0,0,0,1,0,0,27,30.2,41.2,30.0,10.0,Josh Dasilva
63,2021/22,191866,45,44,81,1995,1,3,8,32,0,0,0,5,0,0,5,384,390.0,124.2,184.0,70.0,Kristoffer Ajer
64,2021/22,194010,45,45,108,2775,3,0,9,41,0,0,0,2,0,0,4,453,451.0,325.4,235.0,101.0,Rico Henry
65,2021/22,204580,50,49,90,2295,4,0,9,37,0,0,0,3,0,0,8,343,460.6,331.1,400.0,119.0,Vitaly Janelt
66,2021/22,205836,55,52,30,524,1,2,1,4,0,0,0,2,0,0,0,115,128.4,96.3,133.0,36.0,Saman Ghoddos
67,2021/22,207283,50,49,54,1590,0,1,3,30,0,0,0,0,0,0,2,246,253.2,540.6,198.0,99.3,Mathias Jensen
68,2021/22,216646,60,57,92,1268,7,2,3,22,0,0,0,0,0,0,6,277,348.0,133.1,402.0,87.6,Yoane Wissa
69,2021/22,226956,45,41,41,1232,1,1,1,27,0,0,0,1,0,0,4,170,200.2,125.8,81.0,40.8,Mads Roerslev Rasmussen
70,2021/22,228044,45,43,22,833,0,0,2,14,0,0,0,3,0,0,1,139,127.6,89.7,44.0,26.1,Mads Bech Sørensen
71,2021/22,231065,45,44,90,2694,1,1,7,43,0,0,0,1,0,0,7,517,648.8,151.7,335.0,113.5,Ethan Pinnock
72,2021/22,428580,50,49,35,1040,0,2,3,19,0,0,0,4,0,0,0,117,93.0,73.5,174.0,33.7,Frank Onyeka
73,2021/22,432160,50,49,35,898,1,0,2,15,0,0,0,0,1,0,2,120,139.0,120.8,145.0,40.3,Shandon Baptiste
74,2021/22,446008,55,52,119,2905,4,7,9,47,0,0,0,4,0,0,6,310,459.8,520.6,967.0,193.7,Bryan Mbeumo
75,2021/22,213687,40,39,10,448,0,0,1,6,0,0,0,3,0,0,0,64,54.8,82.7,24.0,16.0,Charlie Goode
76,2021/22,216620,55,53,11,203,0,1,0,4,0,0,0,0,0,0,0,35,20.8,12.5,55.0,8.7,Marcus Forss
77,2021/22,232247,45,44,3,146,0,0,0,3,0,0,0,0,0,0,0,12,15.8,1.2,6.0,2.3,Dominic Thompson
78,2021/22,481405,45,44,4,36,0,0,0,0,0,0,0,0,0,0,0,11,6.6,0.7,0.0,0.8,Mads Bidstrup
79,2021/22,235448,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Ellery Balcombe
80,2021/22,51927,50,46,74,1839,3,0,6,25,1,0,0,3,0,0,3,325,463.8,63.4,238.0,76.6,Ben Mee
81,2021/22,39155,55,53,44,1559,0,1,6,20,0,0,0,4,0,0,0,240,209.4,162.9,173.0,54.6,Adam Lallana
82,2021/22,49262,40,39,2,90,0,0,0,2,0,0,0,0,0,3,0,17,28.8,0.0,0.0,2.9,Jason Steele
