,id,name,cost,position,home_team,away_team,kickoff_time,is_home,team_x
0,1,Cédric Alves Soares,45,DEF,Crystal Palace,Arsenal,2022-08-05T19:00:00Z,False,Arsenal
1,2,Bernd Leno,45,GKP,Crystal Palace,Arsenal,2022-08-05T19:00:00Z,False,Arsenal
2,3,Granit Xhaka,50,MID,Crystal Palace,Arsenal,2022-08-05T19:00:00Z,False,Arsenal
3,4,Mohamed Elneny,45,MID,Crystal Palace,Arsenal,2022-08-05T19:00:00Z,False,Arsenal
4,5,Rob Holding,45,DEF,Crystal Palace,Arsenal,2022-08-05T19:00:00Z,False,Arsenal
5,6,Thomas Partey,50,MID,Crystal Palace,Arsenal,2022-08-05T19:00:00Z,False,Arsenal
6,7,Martin Ødegaard,65,MID,Crystal Palace,Arsenal,2022-08-05T19:00:00Z,False,Arsenal
7,8,Kieran Tierney,50,DEF,Crystal Palace,Arsenal,2022-08-05T19:00:00Z,False,Arsenal
8,9,Nicolas Pépé,55,MID,Crystal Palace,Arsenal,2022-08-05T19:00:00Z,False,Arsenal
9,10,Benjamin White,45,DEF,Crystal Palace,Arsenal,2022-08-05T19:00:00Z,False,Arsenal
10,11,Eddie Nketiah,70,FWD,Crystal Palace,Arsenal,2022-08-05T19:00:00Z,False,Arsenal
11,12,Emile Smith Rowe,60,MID,Crystal Palace,Arsenal,2022-08-05T19:00:00Z,False,Arsenal
12,13,Bukayo Saka,80,MID,Crystal Palace,Arsenal,2022-08-05T19:00:00Z,False,Arsenal
13,14,Takehiro Tomiyasu,45,DEF,Crystal Palace,Arsenal,2022-08-05T19:00:00Z,False,Arsenal
14,15,Aaron Ramsdale,50,GKP,Crystal Palace,Arsenal,2022-08-05T19:00:00Z,False,Arsenal
15,16,Gabriel dos Santos Magalhães,50,DEF,Crystal Palace,Arsenal,2022-08-05T19:00:00Z,False,Arsenal
16,17,Nuno Varela Tavares,45,DEF,Crystal Palace,Arsenal,2022-08-05T19:00:00Z,False,Arsenal
17,18,Albert Sambi Lokonga,45,MID,Crystal Palace,Arsenal,2022-08-05T19:00:00Z,False,Arsenal
18,19,Gabriel Martinelli Silva,60,MID,Crystal Palace,Arsenal,2022-08-05T19:00:00Z,False,Arsenal
19,20,Pablo Marí Villar,45,DEF,Crystal Palace,Arsenal,2022-08-05T19:00:00Z,False,Arsenal
20,21,Ainsley Maitland-Niles,50,MID,Crystal Palace,Arsenal,2022-08-05T19:00:00Z,False,Arsenal
21,22,Lucas Torreira di Pascua,45,MID,Crystal Palace,Arsenal,2022-08-05T19:00:00Z,False,Arsenal
22,23,Reiss Nelson,50,MID,Crystal Palace,Arsenal,2022-08-05T19:00:00Z,False,Arsenal
23,24,Matt Turner,40,GKP,Crystal Palace,Arsenal,2022-08-05T19:00:00Z,False,Arsenal
24,25,Fábio Ferreira Vieira,60,MID,Crystal Palace,Arsenal,2022-08-05T19:00:00Z,False,Arsenal
25,26,William Saliba,45,DEF,Crystal Palace,Arsenal,2022-08-05T19:00:00Z,False,Arsenal
26,27,Marcus Oliveira Alencar,50,MID,Crystal Palace,Arsenal,2022-08-05T19:00:00Z,False,Arsenal
27,28,Gabriel Fernando de Jesus,80,FWD,Crystal Palace,Arsenal,2022-08-05T19:00:00Z,False,Arsenal
28,29,Philippe Coutinho Correia,70,MID,Bournemouth,Aston Villa,2022-08-06T14:00:00Z,False,Aston Villa
29,30,Danny Ings,70,FWD,Bournemouth,Aston Villa,2022-08-06T14:00:00Z,False,Aston Villa
30,31,Emiliano Martínez Romero,50,GKP,Bournemouth,Aston Villa,2022-08-06T14:00:00Z,False,Aston Villa
31,32,Calum Chambers,45,DEF,Bournemouth,Aston Villa,2022-08-06T14:00:00Z,False,Aston Villa
