,id,name,cost,position,home_team,away_team,kickoff_time,is_home,team_x
0,1,Cédric Alves Soares,45,DEF,Bournemouth,Arsenal,2022-08-20T16:30:00Z,False,Arsenal
1,3,Granit Xhaka,50,MID,Bournemouth,Arsenal,2022-08-20T16:30:00Z,False,Arsenal
2,4,Mohamed Elneny,45,MID,Bournemouth,Arsenal,2022-08-20T16:30:00Z,False,Arsenal
3,5,Rob Holding,45,DEF,Bournemouth,Arsenal,2022-08-20T16:30:00Z,False,Arsenal
4,6,Thomas Partey,50,MID,Bournemouth,Arsenal,2022-08-20T16:30:00Z,False,Arsenal
5,7,Martin Ødegaard,65,MID,Bournemouth,Arsenal,2022-08-20T16:30:00Z,False,Arsenal
6,8,Kieran Tierney,50,DEF,Bournemouth,Arsenal,2022-08-20T16:30:00Z,False,Arsenal
7,9,Nicolas Pépé,55,MID,Bournemouth,Arsenal,2022-08-20T16:30:00Z,False,Arsenal
8,10,Benjamin White,45,DEF,Bournemouth,Arsenal,2022-08-20T16:30:00Z,False,Arsenal
9,11,Eddie Nketiah,70,FWD,Bournemouth,Arsenal,2022-08-20T16:30:00Z,False,Arsenal
