,name,team_x,minutes
8,Aaron Cresswell,West Ham,1
17,Aaron Hickey,Brentford,1
33,Aaron Wan-Bissaka,Man Utd,0
74,Adam Smith,Bournemouth,1
81,Adam Webster,Brighton,1
172,Alex Telles,Man Utd,0
247,Andrew Robertson,Liverpool,1
274,Angelo Ogbonna,West Ham,0
315,Antonee Robinson,Fulham,0
348,Armel Bella-Kotchap,Southampton,1
367,Arthur Masuaku,West Ham,0
376,Ashley Young,Aston Villa,1
394,Aymeric Laporte,Man City,1
410,Ben Chilwell,Chelsea,1
439,Ben Davies,Spurs,0
440,Ben Davies,Spurs,1
441,Ben Davies,Liverpool,0
442,Ben Davies,Liverpool,1
451,Ben Godfrey,Everton,0
460,Ben Johnson,West Ham,0
470,Ben Mee,Brentford,1
488,Benjamin White,Arsenal,1
576,Brandon Williams,Man Utd,0
669,Calum Chambers,Aston Villa,0
676,Calvin Ramsay,Liverpool,0
719,Charlie Goode,Brentford,0
753,Chris Mepham,Bournemouth,1
760,Chris Richards,Crystal Palace,0
809,Ciaran Clark,Newcastle,0
819,Clément Lenglet,Spurs,1
826,Cody Drameh,Leeds,0
852,Conor Coady,Everton,1
877,Craig Dawson,West Ham,1
886,Cristian Romero,Spurs,1
916,Cédric Alves Soares,Arsenal,0
923,César Azpilicueta,Chelsea,1
932,Dan Burn,Newcastle,1
950,Daniel Amartey,Leicester,0
1058,Davinson Sánchez,Spurs,1
1129,Diego Carlos Santos Silva,Aston Villa,0
1137,Diego Llorente,Leeds,1
1144,Diogo Dalot Teixeira,Man Utd,1
1160,Djed Spence,Spurs,0
1187,Dominic Thompson,Brentford,0
1204,Duje Caleta-Car,Southampton,0
1282,Emerson Leite de Souza Junior,Spurs,1
1291,Emerson Palmieri dos Santos,West Ham,0
1300,Emil Krafth,Newcastle,0
1351,Eric Bailly,Man Utd,0
1360,Eric Dier,Spurs,1
1376,Ethan Ampadu,Chelsea,0
1386,Ethan Pinnock,Brentford,0
1396,Ezri Konsa Ngoyo,Aston Villa,1
1405,Fabian Schär,Newcastle,1
1436,Federico Fernández,Newcastle,0
1445,Fin Stevens,Brentford,0
1496,Frédéric Guilbert,Aston Villa,0
1539,Gabriel dos Santos Magalhães,Arsenal,1
1566,Giulian Biancone,Nott'm Forest,0
1610,Harrison Ashby,West Ham,0
1644,Harry Maguire,Man Utd,0
1653,Harry Toffolo,Nott'm Forest,0
1705,Haydon Roberts,Brighton,0
1713,Hugo Bueno López,Wolves,0
1746,Ibrahima Konaté,Liverpool,0
1772,Issa Diop,Fulham,0
1790,Ivan Perišić,Spurs,1
1840,Jack Stacey,Bournemouth,0
1849,Jack Stephens,Bournemouth,0
1923,Jamaal Lascelles,Newcastle,0
1932,Jamal Lewis,Newcastle,0
1959,James Hill,Bournemouth,0
1968,James Justin,Leicester,1
2009,James Tarkowski,Everton,1
2016,James Tomkins,Crystal Palace,0
2050,Jan Bednarek,Aston Villa,1
2057,Jan Paul van Hecke,Brighton,0
2066,Jannik Vestergaard,Leicester,0
2075,Japhet Tanganga,Spurs,0
2084,Jarrad Branthwaite,Everton,0
2109,Javier Manquillo Gaitán,Newcastle,0
2189,Joachim Andersen,Crystal Palace,1
2207,Joe Bryan,Fulham,0
2232,Joe Rodon,Spurs,0
2259,Joe Worrall,Nott'm Forest,1
2266,Joel Matip,Liverpool,1
2274,Joel Ward,Crystal Palace,1
2301,John Stones,Man City,1
2311,Jonathan Castro Otto,Wolves,1
2320,Jonathan Panzo,Nott'm Forest,0
2338,Jonny Evans,Leicester,1
2370,Jordan Zemura,Bournemouth,1
2384,Joseph Gomez,Liverpool,1
2420,Josh Wilson-Esbrand,Man City,0
2437,João Cancelo,Man City,1
2461,Joël Veltman,Brighton,1
2462,Juan Larios López,Southampton,0
2485,Junior Firpo Adames,Leeds,0
2518,Kaine Kesler Hayden,Aston Villa,0
2525,Kalidou Koulibaly,Chelsea,1
2595,Kenny Tete,Fulham,1
2620,Kevin Mbabu,Fulham,1
2638,Kieran Tierney,Arsenal,1
2647,Kieran Trippier,Newcastle,1
2671,Konstantinos Tsimikas,Liverpool,1
2680,Kortney Hause,Aston Villa,0
2689,Kristoffer Ajer,Brentford,1
2705,Kurt Zouma,West Ham,1
2706,Kyle John,Everton,0
2715,Kyle Walker,Man City,0
2724,Kyle Walker-Peters,Southampton,1
2725,Lamare Bogarde,Aston Villa,0
2726,Layvin Kurzawa,Fulham,0
2748,Leo Fuhr Hjelde,Leeds,0
2764,Levi Colwill,Brighton,0
2780,Lewis Brunt,Leicester,0
2796,Lewis Dunk,Brighton,1
2821,Liam Cooper,Leeds,0
2831,Lino Sousa,Arsenal,0
2838,Lisandro Martínez,Man Utd,1
2847,Lloyd Kelly,Bournemouth,0
2849,Loïc Badé,Nott'm Forest,0
2858,Loïc Mbe Soh,Nott'm Forest,0
2867,Lucas Digne,Aston Villa,1
2895,Ludwig Augustinsson,Aston Villa,0
2932,Luke Ayling,Leeds,1
2939,Luke Chambers,Liverpool,0
2965,Luke Mbete-Tabu,Man City,0
2979,Luke Shaw,Man Utd,0
2988,Luke Thomas,Leicester,0
2997,Lyanco Silveira Neves Vojnovic,Southampton,0
3015,Mads Bech Sørensen,Brentford,0
3033,Mads Roerslev Rasmussen,Brentford,0
3040,Malang Sarr,Chelsea,0
3057,Manuel Akanji,Man City,0
3082,Marc Cucurella Saseta,Chelsea,1
3089,Marc Guéhi,Crystal Palace,1
3103,Marcos Alonso,Chelsea,0
3104,Marcos Senesi,Bournemouth,0
3191,Mason Holgate,Everton,0
3233,Mathias Jorgensen,Brentford,0
3248,Matt Clarke,Brighton,0
3257,Matt Doherty,Spurs,0
3266,Matt Ritchie,Newcastle,0
3275,Matt Targett,Newcastle,1
3295,Matty Cash,Aston Villa,0
3303,Max Kilman,Wolves,1
3313,Michael Keane,Everton,0
3348,Mohamed Dräger,Nott'm Forest,0
3382,Mohammed Salisu,Southampton,1
3424,Moussa Niakhaté,Nott'm Forest,0
3456,Nathan Aké,Man City,0
3464,Nathan Collins,Wolves,1
3471,Nathan Ferguson,Crystal Palace,0
3480,Nathan Patterson,Everton,1
3514,Nathaniel Clyne,Crystal Palace,1
3521,Nathaniel Phillips,Liverpool,0
3530,Nayef Aguerd,West Ham,0
3548,Neco Williams,Nott'm Forest,1
3584,Niels Nkounkou,Everton,0
3603,Nuno Varela Tavares,Arsenal,0
3611,Nélson Cabral Semedo,Wolves,1
3627,Oleksandr Zinchenko,Arsenal,1
3663,Omar Richards,Nott'm Forest,0
3682,Owen Bevan,Bournemouth,0
3700,Pablo Marí Villar,Arsenal,0
3723,Pascal Struijk,Leeds,1
3748,Paul Dummett,Newcastle,0
3766,Pervis Estupiñán,Brighton,0
3782,Phil Jones,Man Utd,0
3819,Pontus Jansson,Brentford,1
3840,Raphaël Varane,Man Utd,1
3847,Rasmus Kristensen,Leeds,1
3855,Rayan Aït-Nouri,Wolves,1
3871,Reece James,Chelsea,1
3872,Reece Welch,Everton,0
3890,Renan Augusto Lodi dos Santos,Nott'm Forest,0
3897,Rhys Williams,Liverpool,0
3906,Ricardo Barbosa Pereira,Leicester,0
3924,Richie Laryea,Nott'm Forest,0
3933,Rico Henry,Brentford,1
3942,Rico Lewis,Man City,0
3960,Rob Holding,Arsenal,0
3967,Robert Kenedy Nunes do Nascimento,Chelsea,0
3988,Robin Koch,Leeds,1
4040,Romain Perraud,Southampton,1
4072,Ryan Bertrand,Leicester,0
4099,Ryan Fredericks,Bournemouth,0
4108,Ryan Sessegnon,Spurs,1
4127,Rúben Gato Alves Dias,Man City,1
4136,Rúben Nascimento Vinagre,Everton,0
4214,Scott McKenna,Nott'm Forest,1
4230,Seamus Coleman,Everton,1
4246,Sepp van den Berg,Liverpool,0
4247,Serge Aurier,Nott'm Forest,0
4256,Sergi Canós Tenés,Brentford,0
4257,Sergio Gómez,Man City,0
4266,Sergio Reguilón,Spurs,0
4284,Shane Duffy,Fulham,0
4335,Stefan Parkes,Fulham,0
4344,Steve Cook,Nott'm Forest,1
4376,Stuart Dallas,Leeds,0
4385,Sven Botman,Newcastle,1
4412,Takehiro Tomiyasu,Arsenal,0
4419,Tariq Lamptey,Brighton,1
4435,Terence Kongolo,Fulham,0
4459,Thiago Emiliano da Silva,Chelsea,1
4460,Thilo Kehrer,West Ham,0
4496,Tim Ream,Fulham,1
4512,Timothy Castagne,Leicester,1
4521,Tino Livramento,Southampton,0
4564,Tosin Adarabioyo,Fulham,1
4572,Toti António Gomes,Wolves,0
4579,Trent Alexander-Arnold,Liverpool,1
4586,Trevoh Chalobah,Chelsea,0
4616,Tyrell Malacia,Man Utd,1
4632,Tyrick Mitchell,Crystal Palace,1
4641,Tyrone Mings,Aston Villa,1
4655,Victor Lindelöf,Man Utd,0
4662,Virgil van Dijk,Liverpool,1
4671,Vitalii Mykolenko,Everton,1
4689,Vladimir Coufal,West Ham,1
4705,Wesley Fofana,Chelsea,0
