,name,team_x,minutes
51,Adam Armstrong,Southampton,1
130,Aleksandar Mitrović,Fulham,1
173,Alexander Isak,Newcastle,1
306,Anthony Martial,Man Utd,0
339,Armando Broja,Chelsea,1
592,Brennan Johnson,Nott'm Forest,1
635,Bryan Mbeumo,Brentford,1
660,Callum Wilson,Newcastle,1
685,Cameron Archer,Aston Villa,0
703,Carlos Vinícius Alves Morais,Fulham,1
728,Che Adams,Southampton,1
769,Chris Wood,Newcastle,1
776,Christian Benteke,Crystal Palace,0
800,Christian Saydee,Bournemouth,0
893,Cristiano Ronaldo dos Santos Aveiro,Man Utd,1
941,Dane Scarlett,Spurs,0
985,Danny Ings,Aston Villa,1
1001,Danny Welbeck,Brighton,1
1024,Darwin Núñez Ribeiro,Liverpool,1
1111,Deniz Undav,Brighton,1
1130,Diego Da Silva Costa,Wolves,1
1151,Diogo Teixeira da Silva,Liverpool,1
1169,Dominic Calvert-Lewin,Everton,0
1178,Dominic Solanke,Bournemouth,1
1213,Dwight Gayle,Newcastle,0
1238,Eddie Nketiah,Arsenal,1
1337,Emmanuel Dennis,Nott'm Forest,1
1369,Erling Haaland,Man City,1
1387,Evan Ferguson,Brighton,0
1420,Fabio Silva,Wolves,0
1521,Gabriel Fernando de Jesus,Arsenal,1
1557,Gianluca Scamacca,West Ham,1
1592,Halil Dervişoğlu,Brentford,0
1637,Harry Kane,Spurs,1
1799,Ivan Toney,Brentford,1
2041,Jamie Vardy,Leicester,1
2118,Jay Stansfield,Fulham,0
2134,Jean-Philippe Mateta,Crystal Palace,1
2214,Joe Gelhardt,Leeds,1
2302,John-Kymani Gordon,Crystal Palace,0
2469,Julio Enciso,Brighton,0
2478,Julián Álvarez,Man City,1
2509,Kai Havertz,Chelsea,1
2577,Keinan Davis,Aston Villa,0
2586,Kelechi Iheanacho,Leicester,1
2629,Kieffer Moore,Bournemouth,1
2830,Liam Delap,Man City,0
2972,Luke Plange,Crystal Palace,0
3006,Lyle Taylor,Nott'm Forest,0
3114,Marcus Forss,Brentford,0
3329,Michail Antonio,West Ham,1
3539,Neal Maupay,Everton,1
3618,Odsonne Edouard,Crystal Palace,1
3654,Ollie Watkins,Aston Villa,1
3730,Patrick Bamford,Leeds,0
3739,Patson Daka,Leicester,1
3801,Pierre-Emerick Aubameyang,Chelsea,0
3864,Raúl Jiménez,Wolves,0
3915,Richarlison de Andrade,Spurs,1
3981,Roberto Firmino,Liverpool,1
4031,Rodrigo Muniz Carvalho,Fulham,0
4153,Salomón Rondón,Everton,0
4160,Sam Greenwood,Leeds,0
4176,Sam Surridge,Nott'm Forest,0
4187,Sasa Kalajdzic,Wolves,1
4394,Sékou Mara,Southampton,1
4403,Taiwo Awoniyi,Nott'm Forest,1
4436,Terry Ablade,Fulham,0
4503,Timo Werner,Chelsea,0
4595,Troy Parrott,Spurs,0
4715,Wilfried Gnonto,Leeds,0
