,name,team_x,minutes
42,Abdoulaye Doucouré,Everton,1
58,Adam Forshaw,Leeds,0
65,Adam Lallana,Brighton,0
89,Adama Traoré Diarra,Wolves,1
105,Ainsley Maitland-Niles,Southampton,0
114,Albert Sambi Lokonga,Arsenal,1
121,Alejandro Garnacho,Man Utd,0
139,Alex Iwobi,Everton,1
157,Alex Mighten,Nott'm Forest,0
164,Alex Oxlade-Chamberlain,Liverpool,0
180,Alexis Mac Allister,Brighton,1
189,Alfie Devine,Spurs,0
205,Allan Marques Loureiro,Everton,0
214,Allan Saint-Maximin,Newcastle,0
230,Amad Diallo,Man Utd,0
231,Amadou Onana,Everton,0
240,Andreas Hoelgebaum Pereira,Fulham,1
256,Andros Townsend,Everton,0
265,André Tavares Gomes,Everton,0
281,Anthony Elanga,Man Utd,1
290,Anthony Gordon,Everton,1
299,Anthony Knockaert,Fulham,0
316,Antony Matheus dos Santos,Man Utd,1
325,Anwar El Ghazi,Aston Villa,0
332,Archie Gray,Leeds,0
357,Armstrong Oko-Flex,West Ham,0
358,Arthur Henrique Ramos de Oliveira Melo,Liverpool,0
403,Ayoze Pérez,Leicester,0
461,Ben Knight,Man City,0
479,Ben Pearson,Bournemouth,0
497,Bernardo Veiga de Carvalho e Silva,Man City,1
515,Bertrand Traoré,Aston Villa,0
522,Billy Gilmour,Brighton,0
523,Bobby Clark,Liverpool,0
532,Bobby De Cordova-Reid,Fulham,1
541,Boubacar Kamara,Aston Villa,1
542,Boubacar Traoré,Wolves,0
551,Boubakary Soumaré,Leicester,1
560,Braian Ojeda Rodríguez,Nott'm Forest,0
583,Brenden Aaronson,Leeds,1
608,Bruno Borges Fernandes,Man Utd,1
617,Bruno Guimarães Rodriguez Moura,Newcastle,1
626,Bryan Gil Salvatierra,Spurs,0
644,Bukayo Saka,Arsenal,1
651,Callum Hudson-Odoi,Chelsea,0
693,Carlos Henrique Casimiro,Man Utd,0
702,Carlos Ribeiro Dias,Nott'm Forest,0
710,Carney Chukwuemeka,Chelsea,0
735,Cheick Doucouré,Crystal Palace,1
736,Cheikhou Kouyaté,Nott'm Forest,0
744,Chem Campbell,Wolves,1
783,Christian Eriksen,Man Utd,1
792,Christian Nørgaard,Brentford,0
799,Christian Pulisic,Chelsea,1
810,Claudio Gomes,Man City,0
835,Cole Palmer,Man City,1
843,Connor Ronan,Wolves,0
861,Conor Coventry,West Ham,0
868,Conor Gallagher,Chelsea,1
900,Crysencio Summerville,Leeds,0
907,Curtis Jones,Liverpool,0
958,Daniel Castelo Podence,Wolves,1
976,Daniel James,Fulham,1
1008,Darko Gyabi,Leeds,0
1033,David Brooks,Bournemouth,0
1076,Declan Rice,West Ham,1
1085,Dejan Kulusevski,Spurs,1
1094,Dele Alli,Everton,0
1103,Demarai Gray,Everton,1
1104,Denis Zakaria,Chelsea,0
1120,Dennis Praet,Leicester,0
1194,Donny van de Beek,Man Utd,0
1203,Douglas Luiz Soares de Paulo,Aston Villa,1
1222,Dwight McNeil,Everton,1
1229,Eberechi Eze,Crystal Palace,1
1273,Elliot Anderson,Newcastle,1
1309,Emile Smith Rowe,Arsenal,0
1318,Emiliano Buendía Stati,Aston Villa,1
1327,Emiliano Marcondes,Bournemouth,0
1344,Enock Mwepu,Brighton,1
1377,Ethan Nwaneri,Arsenal,0
1412,Fabio Henrique Tavares,Liverpool,1
1427,Facundo Pellistri Rebollo,Man Utd,0
1454,Flynn Downes,West Ham,0
1462,Francisco Jorge Tomás Oliveira,Wolves,0
1471,Frank Onyeka,Brentford,1
1487,Frederico Rodrigues de Paula Santos,Man Utd,1
1505,Fábio Ferreira Vieira,Arsenal,1
1512,Fábio Freitas Gouveia Carvalho,Liverpool,1
1530,Gabriel Martinelli Silva,Arsenal,1
1567,Gonçalo Manuel Ganchinho Guedes,Wolves,0
1576,Granit Xhaka,Arsenal,1
1583,Hakim Ziyech,Chelsea,1
1601,Hamza Choudhury,Leicester,0
1619,Harrison Reed,Fulham,1
1628,Harry Arter,Nott'm Forest,0
1662,Harry Wilson,Fulham,0
1671,Harry Winks,Spurs,0
1680,Harvey Barnes,Leicester,1
1688,Harvey Elliott,Liverpool,1
1689,Harvey Vale,Chelsea,0
1698,Harvey White,Spurs,0
1730,Hwang Hee-chan,Wolves,1
1739,Ibrahima Diallo,Southampton,0
1747,Idrissa Gueye,Everton,0
1756,Ilkay Gündogan,Man City,1
1781,Ivan Neves Abreu Cavaleiro,Fulham,0
1815,Jack Colback,Nott'm Forest,0
1824,Jack Grealish,Man City,1
1831,Jack Harrison,Leeds,1
1866,Jacob Murphy,Newcastle,1
1875,Jacob Ramsey,Aston Villa,1
1884,Jaden Philogene-Bidace,Aston Villa,0
1891,Jadon Sancho,Man Utd,1
1900,Jaidon Anthony,Bournemouth,1
1907,Jairo Riedewald,Crystal Palace,0
1914,Jakub Moder,Brighton,0
1941,Jamal Lowe,Bournemouth,0
1950,James Garner,Everton,0
1977,James Maddison,Leicester,1
1984,James McArthur,Crystal Palace,0
1993,James McAtee,Man City,0
2000,James Milner,Liverpool,1
2025,James Ward-Prowse,Southampton,1
2032,Jamie Shackleton,Leeds,0
2093,Jarrod Bowen,West Ham,1
2127,Jean-Philippe Gbamin,Everton,0
2143,Jeff Hendrick,Newcastle,0
2152,Jefferson Lerma Solís,Bournemouth,1
2159,Jeffrey Schlupp,Crystal Palace,1
2166,Jeremy Sarmiento Morante,Brighton,0
2175,Jesse Lingard,Nott'm Forest,1
2182,Jesurun Rak-Sakyi,Crystal Palace,0
2198,Joe Ayodele-Aribo,Southampton,1
2223,Joe Lolley,Nott'm Forest,0
2241,Joe Rothwell,Bournemouth,0
2250,Joe Willock,Newcastle,1
2283,Joelinton Cássio Apolinário de Lira,Newcastle,1
2292,John McGinn,Aston Villa,1
2329,Jonjo Shelvey,Newcastle,0
2345,Jordan Ayew,Crystal Palace,1
2352,Jordan Henderson,Liverpool,1
2377,Jorge Luiz Frello Filho,Chelsea,1
2392,Joseph Hodge,Wolves,0
2402,Josh Dasilva,Brentford,1
2411,Josh Onomah,Fulham,0
2445,João Filipe Iria Santos Moutinho,Wolves,1
2454,João Palhinha Gonçalves,Fulham,1
2494,Junior Stanislas,Bournemouth,0
2501,Kacper Kozłowski,Brighton,0
2502,Kaden Rodney,Crystal Palace,0
2534,Kalvin Phillips,Man City,0
2541,Kaoru Mitoma,Brighton,1
2568,Keane Lewis-Potter,Brentford,1
2611,Kevin De Bruyne,Man City,1
2656,Kiernan Dewsbury-Hall,Leicester,1
2657,Killian Phillips,Crystal Palace,0
2734,Leander Dendoncker,Aston Villa,0
2741,Leandro Trossard,Brighton,1
2757,Leon Bailey,Aston Villa,1
2771,Lewis Bate,Leeds,0
2789,Lewis Cook,Bournemouth,1
2805,Lewis O'Brien,Nott'm Forest,1
2814,Lewis Warrington,Everton,0
2876,Lucas Rodrigues Moura da Silva,Spurs,0
2877,Lucas Tolentino Coelho de Lima,West Ham,0
2886,Lucas Torreira di Pascua,Arsenal,0
2902,Luis Díaz,Liverpool,1
2909,Luis Sinisterra Lucumí,Leeds,1
2916,Luka Milivojevic,Crystal Palace,0
2947,Luke Cundle,Wolves,0
2956,Luke Harris,Fulham,0
3024,Mads Bidstrup,Brentford,0
3047,Malcolm Ebiowei,Crystal Palace,0
3056,Manor Solomon,Fulham,0
3066,Manuel Lanzini,West Ham,0
3075,Marc Albrighton,Leicester,0
3096,Marc Roca Junqué,Leeds,1
