,name,team,minutes
0,Dan Burn,Newcastle,1
1,Javier Manquillo Gaitán,Newcastle,0
3,Sven Botman,Newcastle,0
10,Paul Dummett,Newcastle,0
11,Matt Targett,Newcastle,0
14,Fabian Schär,Newcastle,1
19,Kell Watts,Newcastle,0
20,Kieran Trippier,Newcastle,1
21,Emil Krafth,Newcastle,0
26,Jamaal Lascelles,Newcastle,1
30,Jamal Lewis,Newcastle,0
35,Harrison Ashby,Newcastle,0
40,Lucas Digne,Aston Villa,1
42,Kortney Hause,Aston Villa,0
45,Pau Torres,Aston Villa,1
46,Calum Chambers,Aston Villa,0
58,Tyrone Mings,Aston Villa,0
62,Alexandre Moreno Lopera,Aston Villa,0
63,Diego Carlos Santos Silva,Aston Villa,1
64,Matty Cash,Aston Villa,1
65,Ezri Konsa Ngoyo,Aston Villa,1
67,Lewis Dunk,Brighton,1
72,Joël Veltman,Brighton,1
76,Jan Paul van Hecke,Brighton,1
79,Igor Julio dos Santos de Paulo,Brighton,1
90,Tariq Lamptey,Brighton,1
92,Adam Webster,Brighton,1
96,Michał Karbownik,Brighton,0
98,Pervis Estupiñán,Brighton,0
99,Jarell Quansah,Liverpool,0
103,Alex Murphy,Newcastle,0
105,Tino Livramento,Newcastle,1
106,Lewis Hall,Newcastle,0
107,Micky van de Ven,Spurs,1
114,Nathaniel Phillips,Liverpool,0
117,Japhet Tanganga,Spurs,0
119,Trent Alexander-Arnold,Liverpool,1
125,Virgil van Dijk,Liverpool,1
126,Davinson Sánchez,Spurs,0
130,Destiny Udogie,Spurs,1
131,Joe Gomez,Liverpool,1
132,Cristian Romero,Spurs,1
134,Joe Rodon,Spurs,0
135,Pedro Porro,Spurs,1
137,Ibrahima Konaté,Liverpool,1
139,Konstantinos Tsimikas,Liverpool,0
142,Ryan Sessegnon,Spurs,0
143,Andrew Robertson,Liverpool,1
145,Ivan Perišić,Spurs,0
146,Sepp van den Berg,Liverpool,0
149,Djed Spence,Spurs,0
156,Joel Matip,Liverpool,1
157,Emerson Leite de Souza Junior,Spurs,1
161,Ben Davies,Spurs,0
164,Eric Dier,Spurs,0
169,Rico Lewis,Man City,0
171,João Cancelo,Man City,0
174,Nathan Aké,Man City,1
177,Manuel Akanji,Man City,1
180,Rúben Gato Alves Dias,Man City,1
183,Sergio Gómez,Man City,0
188,Kyle Walker,Man City,1
191,John Stones,Man City,1
192,Aymeric Laporte,Man City,0
194,Joško Gvardiol,Man City,1
195,Kieran Tierney,Arsenal,0
200,Jurriën Timber,Arsenal,0
203,Cédric Alves Soares,Arsenal,0
209,Takehiro Tomiyasu,Arsenal,1
210,Gabriel dos Santos Magalhães,Arsenal,1
220,Jakub Kiwior,Arsenal,0
221,William Saliba,Arsenal,1
223,Benjamin White,Arsenal,1
225,Oleksandr Zinchenko,Arsenal,1
240,Aaron Cresswell,West Ham,0
242,Nayef Aguerd,West Ham,1
243,Ben Johnson,West Ham,0
244,Vladimír Coufal,West Ham,1
248,Emerson Palmieri dos Santos,West Ham,1
251,Angelo Ogbonna,West Ham,0
252,Kurt Zouma,West Ham,1
255,Thilo Kehrer,West Ham,0
256,Mathias Jorgensen,Brentford,0
267,Mads Roerslev Rasmussen,Brentford,1
268,Ethan Pinnock,Brentford,1
270,Aaron Hickey,Brentford,1
275,Mads Bech Sørensen,Brentford,0
276,Ben Mee,Brentford,0
278,Nathan Collins,Brentford,1
