index,name,team,points,value
Dan Burn2023-10-28T16:30:00Z,Dan Burn,Newcastle,2.8231791552904015,47
Fabian Schär2023-10-28T16:30:00Z,Fabian Schär,Newcastle,2.8272326887317227,52
Kieran Trippier2023-10-28T16:30:00Z,Kieran Trippier,Newcastle,6.195079762608303,70
Jamaal Lascelles2023-10-28T16:30:00Z,Jamaal Lascelles,Newcastle,2.2629427068736003,40
Lucas Digne2023-10-29T14:00:00Z,Lucas Digne,Aston Villa,4.710692566887764,47
Pau Torres2023-10-29T14:00:00Z,Pau Torres,Aston Villa,4.661042601053021,45
Diego Carlos Santos Silva2023-10-29T14:00:00Z,Diego Carlos Santos Silva,Aston Villa,3.496564257902852,44
Matty Cash2023-10-29T14:00:00Z,Matty Cash,Aston Villa,4.123158373739691,51
Ezri Konsa Ngoyo2023-10-29T14:00:00Z,Ezri Konsa Ngoyo,Aston Villa,4.535803892497347,45
Lewis Dunk2023-10-29T14:00:00Z,Lewis Dunk,Brighton,3.737533072444117,50
Joël Veltman2023-10-29T14:00:00Z,Joël Veltman,Brighton,3.920137554222676,44
Jan Paul van Hecke2023-10-29T14:00:00Z,Jan Paul van Hecke,Brighton,2.6149266644414015,40
Igor Julio dos Santos de Paulo2023-10-29T14:00:00Z,Igor Julio dos Santos de Paulo,Brighton,3.410968917872547,43
Tariq Lamptey2023-10-29T14:00:00Z,Tariq Lamptey,Brighton,2.908893202616214,40
Adam Webster2023-10-29T14:00:00Z,Adam Webster,Brighton,3.371415018631404,43
Tino Livramento2023-10-28T16:30:00Z,Tino Livramento,Newcastle,1.513544985116776,44
Micky van de Ven2023-10-27T19:00:00Z,Micky van de Ven,Spurs,3.0232787963901004,46
Trent Alexander-Arnold2023-10-29T14:00:00Z,Trent Alexander-Arnold,Liverpool,5.014529874826536,79
Virgil van Dijk2023-10-29T14:00:00Z,Virgil van Dijk,Liverpool,3.8121248594593746,60
Destiny Udogie2023-10-27T19:00:00Z,Destiny Udogie,Spurs,3.289331892155625,49
Joe Gomez2023-10-29T14:00:00Z,Joe Gomez,Liverpool,2.7950510432520064,45
Cristian Romero2023-10-27T19:00:00Z,Cristian Romero,Spurs,3.945540185600489,49
Pedro Porro2023-10-27T19:00:00Z,Pedro Porro,Spurs,3.6623579463327376,52
Ibrahima Konaté2023-10-29T14:00:00Z,Ibrahima Konaté,Liverpool,3.08613373309216,49
Andrew Robertson2023-10-29T14:00:00Z,Andrew Robertson,Liverpool,4.213994112411204,65
Joel Matip2023-10-29T14:00:00Z,Joel Matip,Liverpool,3.404628162685314,49
Emerson Leite de Souza Junior2023-10-27T19:00:00Z,Emerson Leite de Souza Junior,Spurs,2.05487282668803,44
Nathan Aké2023-10-29T15:30:00Z,Nathan Aké,Man City,3.4049747856679744,51
Manuel Akanji2023-10-29T15:30:00Z,Manuel Akanji,Man City,2.97441665910657,50
Rúben Gato Alves Dias2023-10-29T15:30:00Z,Rúben Gato Alves Dias,Man City,3.1959328297594247,55
Kyle Walker2023-10-29T15:30:00Z,Kyle Walker,Man City,3.690049800983056,53
John Stones2023-10-29T15:30:00Z,John Stones,Man City,2.814236422209726,53
Joško Gvardiol2023-10-29T15:30:00Z,Joško Gvardiol,Man City,2.8462341322399998,50
Takehiro Tomiyasu2023-10-28T14:00:00Z,Takehiro Tomiyasu,Arsenal,2.2494895207836345,45
Gabriel dos Santos Magalhães2023-10-28T14:00:00Z,Gabriel dos Santos Magalhães,Arsenal,3.9167041544001084,47
William Saliba2023-10-28T14:00:00Z,William Saliba,Arsenal,3.556910873661455,52
Benjamin White2023-10-28T14:00:00Z,Benjamin White,Arsenal,3.9199418716245567,56
Oleksandr Zinchenko2023-10-28T14:00:00Z,Oleksandr Zinchenko,Arsenal,3.5846959494449187,49
Nayef Aguerd2023-10-29T13:00:00Z,Nayef Aguerd,West Ham,3.482444391817442,45
Vladimír Coufal2023-10-29T13:00:00Z,Vladimír Coufal,West Ham,3.9729722360890265,46
