,name,team,minutes
4,Alexander Isak,Newcastle,1
8,Callum Wilson,Newcastle,1
47,Ollie Watkins,Aston Villa,1
55,Wesley Moraes Ferreira da Silva,Aston Villa,0
60,Jhon Durán,Aston Villa,0
66,Keinan Davis,Aston Villa,0
75,Danny Welbeck,Brighton,1
77,João Pedro Junqueira de Jesus,Brighton,1
81,Aaron Connolly,Brighton,0
86,Andi Zeqiri,Brighton,0
95,Evan Ferguson,Brighton,1
97,Deniz Undav,Brighton,0
108,Dane Scarlett,Spurs,0
109,Alejo Véliz,Spurs,0
122,Darwin Núñez Ribeiro,Liverpool,1
153,Cody Gakpo,Liverpool,1
159,Harry Kane,Spurs,0
179,Julián Álvarez,Man City,1
190,Erling Haaland,Man City,1
198,Gabriel Fernando de Jesus,Arsenal,1
219,Folarin Balogun,Arsenal,0
226,Eddie Nketiah,Arsenal,1
235,Divin Mubama,West Ham,0
239,Gianluca Scamacca,West Ham,0
241,Danny Ings,West Ham,0
246,Michail Antonio,West Ham,1
258,Halil Dervişoğlu,Brentford,0
266,Yoane Wissa,Brentford,1
277,Ivan Toney,Brentford,0
292,Pierre-Emerick Aubameyang,Chelsea,0
299,Youssef Ramalho Chermiti,Everton,0
300,Mason Burstow,Chelsea,0
304,Thomas Cannon,Everton,0
305,Romelu Lukaku Bolingoli,Chelsea,0
310,Christopher Nkunku,Chelsea,0
318,Nicolas Jackson,Chelsea,1
322,Rasmus Højlund,Man Utd,1
326,Cameron Archer,Sheffield Utd,1
327,Armando Broja,Chelsea,1
335,David Datro Fofana,Chelsea,0
352,Anthony Martial,Man Utd,1
363,Matheus Santos Carneiro Da Cunha,Wolves,1
378,Fábio Silva,Wolves,1
390,Sasa Kalajdzic,Wolves,1
392,Shola Shoretire,Man Utd,0
399,Ellis Simms,Everton,0
405,Dominic Calvert-Lewin,Everton,1
431,Taiwo Awoniyi,Nott'm Forest,1
439,Hwang Ui-jo,Nott'm Forest,0
449,Chris Wood,Nott'm Forest,1
452,Sam Surridge,Nott'm Forest,0
464,Emmanuel Dennis,Nott'm Forest,0
472,Chiedozie Ogbene,Luton,1
479,Joe Taylor,Luton,0
481,Carlton Morris,Luton,1
491,Cauley Woodrow,Luton,1
495,Elijah Adebayo,Luton,1
499,Aribim Pepple,Luton,0
504,Wout Weghorst,Burnley,0
506,John McAtee,Luton,0
509,Jacob Brown,Luton,1
517,Michael Obafemi,Burnley,0
518,Jay Rodriguez,Burnley,0
523,Neal Maupay,Brentford,1
525,Lyle Foster,Burnley,1
527,Zeki Amdouni,Burnley,1
536,Admiral Muskwe,Luton,0
537,Louie Marsh,Sheffield Utd,0
540,Antwoine Hackford,Sheffield Utd,0
544,Oliver McBurnie,Sheffield Utd,1
546,Iliman Ndiaye,Sheffield Utd,0
552,Daniel Jebbison,Sheffield Utd,0
556,William Osula,Sheffield Utd,0
557,Rhian Brewster,Sheffield Utd,1
563,Bénie Traoré,Sheffield Utd,0
573,Aleksandar Mitrović,Fulham,0
583,Carlos Vinícius Alves Morais,Fulham,1
596,Odsonne Edouard,Crystal Palace,1
597,Jean-Philippe Mateta,Crystal Palace,1
600,Raúl Jiménez,Fulham,1
604,Luke Plange,Crystal Palace,0
614,Rodrigo Muniz Carvalho,Fulham,0
621,Jay Stansfield,Fulham,0
623,John-Kymani Gordon,Crystal Palace,0
646,Antoine Semenyo,Bournemouth,0
647,Dominic Solanke,Bournemouth,1
648,Kieffer Moore,Bournemouth,1
663,Ademola Ola-Adebomi,Crystal Palace,0
678,Deivid Washington de Souza Eugênio,Chelsea,0
680,Divock Origi,Nott'm Forest,0
693,Jamie Donley,Spurs,0
711,Nathan Fraser,Wolves,0
714,Norberto Bercique Gomes Betuncal,Everton,1
719,Ronnie Stutter,Chelsea,0
