,name,team,minutes
135,Aaron Connolly,Brighton,0
374,Admiral Muskwe,Luton,0
607,Alejo Véliz,Spurs,0
313,Aleksandar Mitrović,Fulham,1
475,Alexander Isak,Newcastle,1
162,Andi Zeqiri,Brighton,0
447,Anthony Martial,Man Utd,0
85,Antoine Semenyo,Bournemouth,0
570,Antwoine Hackford,Sheffield Utd,0
378,Aribim Pepple,Luton,0
212,Armando Broja,Chelsea,0
565,Bénie Traoré,Sheffield Utd,1
493,Callum Wilson,Newcastle,1
34,Cameron Archer,Aston Villa,0
322,Carlos Vinícius Alves Morais,Fulham,0
373,Carlton Morris,Luton,1
387,Cauley Woodrow,Luton,0
375,Chiedozie Ogbene,Luton,0
536,Chris Wood,Nott'm Forest,0
230,Christopher Nkunku,Chelsea,0
339,Cody Gakpo,Liverpool,1
606,Dane Scarlett,Spurs,0
554,Daniel Jebbison,Sheffield Utd,0
621,Danny Ings,West Ham,1
161,Danny Welbeck,Brighton,1
335,Darwin Núñez Ribeiro,Liverpool,1
219,David Datro Fofana,Chelsea,0
156,Deniz Undav,Brighton,0
624,Divin Mubama,West Ham,0
273,Dominic Calvert-Lewin,Everton,0
88,Dominic Solanke,Bournemouth,1
12,Eddie Nketiah,Arsenal,1
361,Elijah Adebayo,Luton,1
291,Ellis Simms,Everton,0
511,Emmanuel Dennis,Nott'm Forest,0
411,Erling Haaland,Man City,1
140,Evan Ferguson,Brighton,1
0,Folarin Balogun,Arsenal,0
641,Fábio Silva,Wolves,1
7,Gabriel Fernando de Jesus,Arsenal,0
626,Gianluca Scamacca,West Ham,0
108,Halil Dervişoğlu,Brentford,0
582,Harry Kane,Spurs,1
534,Hwang Ui-jo,Nott'm Forest,0
557,Iliman Ndiaye,Sheffield Utd,0
125,Ivan Toney,Brentford,0
395,Jacob Brown,Luton,0
186,Jay Rodriguez,Burnley,0
328,Jay Stansfield,Fulham,0
256,Jean-Philippe Mateta,Crystal Palace,0
45,Jhon Durán,Aston Villa,0
383,Joe Taylor,Luton,0
371,John McAtee,Luton,0
270,John-Kymani Gordon,Crystal Palace,0
143,João Pedro Junqueira de Jesus,Brighton,1
399,Julián Álvarez,Man City,1
40,Keinan Davis,Aston Villa,0
79,Kieffer Moore,Bournemouth,0
568,Louie Marsh,Sheffield Utd,0
261,Luke Plange,Crystal Palace,0
177,Lyle Foster,Burnley,1
241,Mason Burstow,Chelsea,0
662,Matheus Santos Carneiro Da Cunha,Wolves,1
183,Michael Obafemi,Burnley,0
609,Michail Antonio,West Ham,1
285,Neal Maupay,Everton,1
229,Nicolas Jackson,Chelsea,1
249,Odsonne Edouard,Crystal Palace,1
556,Oliver McBurnie,Sheffield Utd,0
60,Ollie Watkins,Aston Villa,1
207,Pierre-Emerick Aubameyang,Chelsea,0
460,Rasmus Højlund,Man Utd,1
324,Raúl Jiménez,Fulham,1
548,Rhian Brewster,Sheffield Utd,0
314,Rodrigo Muniz Carvalho,Fulham,0
226,Romelu Lukaku Bolingoli,Chelsea,0
532,Sam Surridge,Nott'm Forest,0
649,Sasa Kalajdzic,Wolves,0
456,Shola Shoretire,Man Utd,0
505,Taiwo Awoniyi,Nott'm Forest,1
299,Thomas Cannon,Everton,0
61,Wesley Moraes Ferreira da Silva,Aston Villa,0
561,William Osula,Sheffield Utd,1
192,Wout Weghorst,Burnley,0
127,Yoane Wissa,Brentford,1
298,Youssef Ramalho Chermiti,Everton,0
195,Zeki Amdouni,Burnley,1
