,name,team,minutes
16,Aaron Ramsdale,Arsenal,1
558,Adam Davies,Sheffield Utd,0
335,Adrián San Miguel del Castillo,Liverpool,0
612,Alfie Whiteman,Spurs,0
337,Alisson Ramses Becker,Liverpool,1
619,Alphonse Areola,West Ham,1
465,André Onana,Man Utd,1
298,Andy Lonergan,Everton,0
184,Arijanet Muric,Burnley,0
187,Bailey Peacock-Farrell,Burnley,0
162,Bart Verbruggen,Brighton,0
314,Bernd Leno,Fulham,1
581,Brandon Austin,Spurs,0
347,Caoimhin Kelleher,Liverpool,0
644,Daniel Bentley,Wolves,0
86,Darren Randolph,Bournemouth,0
29,David Raya Martin,Arsenal,0
448,Dean Henderson,Man Utd,0
181,Denis Franchi,Burnley,0
414,Ederson Santana de Moraes,Man City,1
103,Ellery Balcombe,Brentford,0
51,Emiliano Martínez Romero,Aston Villa,1
525,Ethan Horvath,Nott'm Forest,0
66,Filip Marschall,Aston Villa,0
589,Fraser Forster,Spurs,0
235,Gabriel Słonina,Chelsea,0
548,George Shelvey,Nott'm Forest,0
611,Guglielmo Vicario,Spurs,1
593,Hugo Lloris,Spurs,0
97,Ionuț Radu,Bournemouth,0
390,Jack Walton,Luton,0
387,James Shea,Luton,0
199,James Trafford,Burnley,1
158,Jason Steele,Brighton,1
271,Joe Whitworth,Crystal Palace,0
552,Jordan Amissah,Sheffield Utd,0
294,Jordan Pickford,Everton,1
641,Joseph Anang,West Ham,0
665,José Malheiro de Sá,Wolves,1
297,João Neves Virgínia,Everton,0
476,Karl Darlow,Newcastle,0
33,Karl Hein,Arsenal,0
209,Kepa Arrizabalaga,Chelsea,0
157,Kjell Scherpen,Brighton,0
193,Lawrence Vigouroux,Burnley,0
502,Loris Karius,Newcastle,0
244,Lucas Bergström,Chelsea,0
628,Lukasz Fabianski,West Ham,0
214,Marcus Bettinelli,Chelsea,0
323,Marek Rodák,Fulham,0
113,Mark Flekken,Brentford,1
479,Mark Gillespie,Newcastle,0
94,Mark Travers,Bournemouth,0
477,Martin Dubravka,Newcastle,0
667,Matija Šarkić,Wolves,0
375,Matt Macey,Luton,0
508,Matt Turner,Nott'm Forest,1
109,Matthew Cox,Brentford,0
492,Nick Pope,Newcastle,1
83,Norberto Murara Neto,Bournemouth,1
468,Radek Vítek,Man Utd,0
261,Remi Matthews,Crystal Palace,0
206,Robert Sánchez,Chelsea,1
54,Robin Olsen,Aston Villa,0
17,Rúnar Alex Rúnarsson,Arsenal,0
258,Sam Johnstone,Crystal Palace,1
409,Scott Carson,Man City,0
423,Stefan Ortega Moreno,Man City,0
398,Thomas Kaminski,Luton,1
127,Thomas Strakosha,Brentford,0
402,Tim Krul,Luton,0
447,Tom Heaton,Man Utd,0
660,Tom King,Wolves,0
152,Tom McGill,Brighton,0
255,Vicente Guaita,Crystal Palace,0
58,Viljami Sinisalo,Aston Villa,0
524,Wayne Hennessey,Nott'm Forest,0
561,Wes Foderingham,Sheffield Utd,1
429,Zack Steffen,Man City,0
