,name,team,minutes
280,Abdoulaye Doucouré,Everton,1
149,Adam Lallana,Brighton,0
334,Adama Traoré,Fulham,1
20,Albert Sambi Lokonga,Arsenal,0
445,Alejandro Garnacho,Man Utd,1
287,Alex Iwobi,Everton,1
532,Alex Mighten,Nott'm Forest,0
100,Alex Scott,Bournemouth,0
350,Alexis Mac Allister,Liverpool,1
371,Allan Campbell,Luton,0
494,Allan Saint-Maximin,Newcastle,0
435,Amad Diallo,Man Utd,0
292,Amadou Onana,Everton,1
196,Anass Zaroury,Burnley,0
577,Andre Brooks,Sheffield Utd,0
306,Andreas Hoelgebaum Pereira,Fulham,1
208,Andrey Nascimento dos Santos,Chelsea,0
275,André Tavares Gomes,Everton,0
571,Anis Slimane,Sheffield Utd,0
509,Anthony Elanga,Nott'm Forest,1
480,Anthony Gordon,Newcastle,1
312,Anthony Knockaert,Fulham,0
436,Antony Matheus dos Santos,Man Utd,1
300,Arnaut Danjuma Groeneveld,Everton,1
362,Ben Doak,Liverpool,0
568,Ben Osborn,Sheffield Utd,1
85,Ben Pearson,Bournemouth,0
406,Bernardo Veiga de Carvalho e Silva,Man City,1
60,Bertrand Traoré,Aston Villa,0
144,Billy Gilmour,Brighton,1
361,Bobby Clark,Liverpool,0
309,Bobby De Cordova-Reid,Fulham,1
49,Boubacar Kamara,Aston Villa,1
670,Boubacar Traoré,Wolves,0
535,Braian Ojeda Rodríguez,Nott'm Forest,0
510,Brandon Aguilera Zamora,Nott'm Forest,0
526,Brennan Johnson,Nott'm Forest,1
437,Bruno Borges Fernandes,Man Utd,1
657,Bruno Cavaco Jordão,Wolves,0
474,Bruno Guimarães Rodriguez Moura,Newcastle,1
584,Bryan Gil Salvatierra,Spurs,0
120,Bryan Mbeumo,Brentford,1
18,Bukayo Saka,Arsenal,1
226,Callum Hudson-Odoi,Chelsea,0
440,Carlos Henrique Casimiro,Man Utd,1
377,Carlos Mendes Gomes,Luton,0
218,Carney Chukwuemeka,Chelsea,1
251,Cheick Doucouré,Crystal Palace,1
527,Cheikhou Kouyaté,Nott'm Forest,0
442,Christian Eriksen,Man Utd,1
122,Christian Nørgaard,Brentford,1
233,Christian Pulisic,Chelsea,0
424,Cole Palmer,Man City,0
624,Conor Coventry,West Ham,0
224,Conor Gallagher,Chelsea,1
346,Curtis Jones,Liverpool,0
84,Dango Ouattara,Bournemouth,0
664,Daniel Castelo Podence,Wolves,0
518,Danilo dos Santos de Oliveira,Nott'm Forest,1
176,Dara Costelloe,Burnley,0
174,Darko Churlinov,Burnley,0
70,David Brooks,Bournemouth,1
30,Declan Rice,Arsenal,1
592,Dejan Kulusevski,Spurs,1
279,Dele Alli,Everton,0
284,Demarai Gray,Everton,0
340,Diogo Teixeira da Silva,Liverpool,1
384,Dion Pereira,Luton,0
355,Dominik Szoboszlai,Liverpool,1
463,Donny van de Beek,Man Utd,0
45,Douglas Luiz Soares de Paulo,Aston Villa,1
290,Dwight McNeil,Everton,0
254,Eberechi Eze,Crystal Palace,1
640,Edson Álvarez Velázquez,West Ham,0
471,Elliot Anderson,Newcastle,1
389,Elliot Thorpe,Luton,0
21,Emile Smith Rowe,Arsenal,0
37,Emiliano Buendía Stati,Aston Villa,0
80,Emiliano Marcondes,Bournemouth,0
168,Enock Agyei,Burnley,0
221,Enzo Fernández,Chelsea,1
342,Fabio Henrique Tavares,Liverpool,0
137,Facundo Buonanotte,Brighton,0
457,Facundo Pellistri Rebollo,Man Utd,0
626,Flynn Downes,West Ham,0
647,Francisco Jorge Tomás Oliveira,Wolves,0
123,Frank Onyeka,Brentford,0
381,Fred Onyedinma,Luton,0
444,Frederico Rodrigues de Paula Santos,Man Utd,0
3,Fábio Ferreira Vieira,Arsenal,0
11,Gabriel Martinelli Silva,Arsenal,1
486,Garang Kuol,Newcastle,0
77,Gavin Kilkenny,Bournemouth,0
594,Giovani Lo Celso,Spurs,0
386,Glen Rea,Luton,0
651,Gonçalo Manuel Ganchinho Guedes,Wolves,0
27,Granit Xhaka,Arsenal,0
579,Gustavo Hamer,Sheffield Utd,1
538,Gustavo Henrique Furtado Scarpa,Nott'm Forest,0
238,Hakim Ziyech,Chelsea,0
93,Hamed Traorè,Bournemouth,0
446,Hannibal Mejbri,Man Utd,0
321,Harrison Reed,Fulham,1
511,Harry Arter,Nott'm Forest,0
327,Harry Wilson,Fulham,1
504,Harvey Barnes,Newcastle,1
341,Harvey Elliott,Liverpool,1
654,Hwang Hee-chan,Wolves,1
240,Ian Maatsen,Chelsea,0
285,Idrissa Gueye,Everton,1
481,Isaac Hayden,Newcastle,0
557,Ismaila Coulibaly,Sheffield Utd,0
308,Ivan Neves Abreu Cavaleiro,Fulham,0
175,Jack Cork,Burnley,0
416,Jack Grealish,Man City,1
305,Jack Harrison,Everton,1
167,Jack Hinshelwood,Brighton,0
202,Jacob Bruun Larsen,Burnley,0
491,Jacob Murphy,Newcastle,1
56,Jacob Ramsey,Aston Villa,0
55,Jaden Philogene-Bidace,Aston Villa,0
460,Jadon Sancho,Man Utd,1
68,Jaidon Anthony,Bournemouth,1
267,Jairo Riedewald,Crystal Palace,0
155,Jakub Moder,Brighton,0
79,Jamal Lowe,Bournemouth,0
281,James Garner,Everton,1
595,James Maddison,Spurs,1
422,James McAtee,Man City,0
363,James McConnell,Liverpool,0
153,James Milner,Brighton,1
642,James Ward-Prowse,West Ham,1
621,Jarrod Bowen,West Ham,1
282,Jean-Philippe Gbamin,Everton,0
482,Jeff Hendrick,Newcastle,0
259,Jefferson Lerma Solís,Crystal Palace,1
268,Jeffrey Schlupp,Crystal Palace,1
156,Jeremy Sarmiento Morante,Brighton,0
273,Jesurun Rak-Sakyi,Crystal Palace,0
652,Joe Hodge,Wolves,0
87,Joe Rothwell,Bournemouth,1
500,Joe Willock,Newcastle,0
484,Joelinton Cássio Apolinário de Lira,Newcastle,1
560,John Fleck,Sheffield Utd,0
52,John McGinn,Aston Villa,1
539,Jonjo Shelvey,Nott'm Forest,0
249,Jordan Ayew,Crystal Palace,1
372,Jordan Clark,Luton,0
345,Jordan Henderson,Liverpool,0
8,Jorge Luiz Frello Filho,Arsenal,0
516,Josh Bowler,Nott'm Forest,0
173,Josh Brownhill,Burnley,0
177,Josh Cullen,Burnley,1
111,Josh Dasilva,Brentford,0
319,João Palhinha Gonçalves,Fulham,1
655,João Victor Gomes da Silva,Wolves,1
141,Julio Enciso,Brighton,1
78,Justin Kluivert,Bournemouth,1
182,Jóhann Berg Gudmundsson,Burnley,0
148,Kacper Kozłowski,Brighton,0
5,Kai Havertz,Arsenal,1
426,Kalvin Phillips,Man City,0
154,Kaoru Mitoma,Brighton,1
119,Keane Lewis-Potter,Brentford,0
411,Kevin De Bruyne,Man City,1
126,Kevin Schade,Brentford,1
451,Kobbie Mainoo,Man Utd,0
42,Leander Dendoncker,Aston Villa,0
25,Leandro Trossard,Arsenal,1
36,Leon Bailey,Aston Villa,1
242,Lesley Ugochukwu,Chelsea,0
72,Lewis Cook,Bournemouth,0
301,Lewis Dobbin,Everton,1
507,Lewis Miley,Newcastle,0
534,Lewis O'Brien,Nott'm Forest,0
391,Louie Watson,Luton,0
201,Luca Koleosho,Burnley,1
634,Lucas Tolentino Coelho de Lima,West Ham,1
349,Luis Díaz,Liverpool,1
369,Luke Berry,Luton,0
648,Luke Cundle,Wolves,0
374,Luke Freeman,Luton,0
106,Mads Bidstrup,Brentford,0
139,Mahmoud Dahoud,Brighton,1
252,Malcolm Ebiowei,Crystal Palace,0
613,Manor Solomon,Spurs,0
171,Manuel Benson Hedilazio,Burnley,0
10,Marcus Oliveira Alencar,Arsenal,0
459,Marcus Rashford,Man Utd,1
92,Marcus Tavernier,Bournemouth,0
661,Mario Lemina,Wolves,1
13,Martin Ødegaard,Arsenal,1
365,Marvelous Nakamba,Luton,1
433,Mason Mount,Man Utd,1
418,Mateo Kovačić,Man City,1
272,Matheus França de Oliveira,Crystal Palace,0
662,Matheus Luiz Nunes,Wolves,1
118,Mathias Jensen,Brentford,1
493,Matt Ritchie,Newcastle,0
333,Matthew Dibley-Dias,Fulham,0
622,Maxwel Cornet,West Ham,0
264,Michael Olise,Crystal Palace,0
133,Michale Olakigbe,Brentford,0
470,Miguel Almirón Rejala,Newcastle,1
110,Mikkel Damsgaard,Brentford,0
2,Mohamed Elneny,Arsenal,0
354,Mohamed Salah,Liverpool,1
205,Moisés Caicedo Corozo,Chelsea,1
523,Morgan Gibbs-White,Nott'm Forest,1
57,Morgan Sanson,Aston Villa,0
64,Moussa Diaby,Aston Villa,1
230,Mykhailo Mudryk,Chelsea,1
425,Máximo Perrone,Man City,0
247,Naouirou Ahamada,Crystal Palace,0
200,Nathan Redmond,Burnley,0
15,Nicolas Pépé,Arsenal,0
67,Nicolò Zaniolo,Aston Villa,1
637,Nikola Vlašić,West Ham,0
229,Noni Madueke,Chelsea,0
567,Oliver Norwood,Sheffield Utd,1
606,Oliver Skipp,Spurs,0
467,Omari Forson,Man Utd,0
65,Omari Kellyman,Aston Villa,0
529,Orel Mangala,Nott'm Forest,1
407,Oscar Bobb,Man City,0
629,Pablo Fornals Malla,West Ham,1
666,Pablo Sarabia,Wolves,1
604,Pape Matar Sarr,Spurs,1
145,Pascal Groß,Brighton,1
663,Pedro Lomba Neto,Wolves,1
395,Pelly Ruddock Mpanzu,Luton,1
415,Phil Foden,Man City,1
69,Philip Billing,Bournemouth,1
40,Philippe Coutinho Correia,Aston Villa,0
590,Pierre-Emile Højbjerg,Spurs,1
236,Raheem Sterling,Chelsea,1
31,Reiss Nelson,Arsenal,0
522,Remo Freuler,Nott'm Forest,0
600,Richarlison de Andrade,Spurs,1
421,Riyad Mahrez,Man City,0
582,Rodrigo Bentancur,Spurs,0
427,Rodrigo Hernandez,Man City,1
245,Roméo Lavia,Chelsea,0
399,Ross Barkley,Luton,0
71,Ryan Christie,Bournemouth,1
478,Ryan Fraser,Newcastle,0
129,Ryan Trevitt,Brentford,0
