index,name,team,points,value
Robert Sánchez2023-09-02T14:00:00Z,Robert Sánchez,Chelsea,3.9727458275941303,45
Mark Flekken2023-09-02T14:00:00Z,Mark Flekken,Brentford,3.9707979916448317,45
Ederson Santana de Moraes2023-09-02T14:00:00Z,Ederson Santana de Moraes,Man City,3.9476774536850323,56
Alphonse Areola2023-09-01T19:00:00Z,Alphonse Areola,West Ham,3.878932994804201,41
Guglielmo Vicario2023-09-02T14:00:00Z,Guglielmo Vicario,Spurs,3.87755823296062,50
Alisson Ramses Becker2023-09-03T13:00:00Z,Alisson Ramses Becker,Liverpool,3.85036036003343,55
Jordan Pickford2023-09-02T11:30:00Z,Jordan Pickford,Everton,3.8250750324459544,45
José Malheiro de Sá2023-09-03T13:00:00Z,José Malheiro de Sá,Wolves,3.681083847484551,50
James Trafford2023-09-02T14:00:00Z,James Trafford,Burnley,3.6392232990013462,45
Wes Foderingham2023-09-02T11:30:00Z,Wes Foderingham,Sheffield Utd,3.6313805269869475,45
Sam Johnstone2023-09-03T13:00:00Z,Sam Johnstone,Crystal Palace,3.6286006469698853,45
Matt Turner2023-09-02T14:00:00Z,Matt Turner,Nott'm Forest,3.588706900501446,40
Thomas Kaminski2023-09-01T19:00:00Z,Thomas Kaminski,Luton,3.5695928411199462,45
Norberto Murara Neto2023-09-02T14:00:00Z,Norberto Murara Neto,Bournemouth,3.5019945675575097,45
André Onana2023-09-03T15:30:00Z,André Onana,Man Utd,3.3555745075681904,50
Aaron Ramsdale2023-09-03T15:30:00Z,Aaron Ramsdale,Arsenal,3.1922226602206227,50
Nick Pope2023-09-02T16:30:00Z,Nick Pope,Newcastle,3.1641328163784674,55
Emiliano Martínez Romero2023-09-03T13:00:00Z,Emiliano Martínez Romero,Aston Villa,3.090928737317008,50
Bernd Leno2023-09-02T14:00:00Z,Bernd Leno,Fulham,3.0752101967266596,45
Jason Steele2023-09-02T16:30:00Z,Jason Steele,Brighton,3.021352234368413,45
