index,name,team,points,value
Alexander Isak2023-09-24T15:30:00Z,Alexander Isak,Newcastle,3.3707075968120956,76
Anthony Martial2023-09-23T19:00:00Z,Anthony Martial,Man Utd,3.355198028667769,65
Bénie Traoré2023-09-24T15:30:00Z,Bénie Traoré,Sheffield Utd,1.9317718864884306,54
Callum Wilson2023-09-24T15:30:00Z,Callum Wilson,Newcastle,4.829900452212455,78
Cameron Archer2023-09-24T15:30:00Z,Cameron Archer,Sheffield Utd,1.9611053312421896,45
Carlos Vinícius Alves Morais2023-09-23T14:00:00Z,Carlos Vinícius Alves Morais,Fulham,1.8514254444722515,48
Carlton Morris2023-09-23T14:00:00Z,Carlton Morris,Luton,2.8484328350201817,55
Cody Gakpo2023-09-24T13:00:00Z,Cody Gakpo,Liverpool,3.182175865585374,73
Danny Welbeck2023-09-24T13:00:00Z,Danny Welbeck,Brighton,3.732735643210395,58
Darwin Núñez Ribeiro2023-09-24T13:00:00Z,Darwin Núñez Ribeiro,Liverpool,3.26542723958322,74
Dominic Calvert-Lewin2023-09-23T16:30:00Z,Dominic Calvert-Lewin,Everton,2.1317900495098914,58
Dominic Solanke2023-09-24T13:00:00Z,Dominic Solanke,Bournemouth,3.8366834040019544,65
Eddie Nketiah2023-09-24T13:00:00Z,Eddie Nketiah,Arsenal,3.368463304379045,56
Elijah Adebayo2023-09-23T14:00:00Z,Elijah Adebayo,Luton,2.1301413774535267,49
Erling Haaland2023-09-23T14:00:00Z,Erling Haaland,Man City,6.9101064688722875,141
Evan Ferguson2023-09-24T13:00:00Z,Evan Ferguson,Brighton,4.5653214116313885,60
Fábio Silva2023-09-23T14:00:00Z,Fábio Silva,Wolves,3.049008231270064,54
Gabriel Fernando de Jesus2023-09-24T13:00:00Z,Gabriel Fernando de Jesus,Arsenal,2.4568478275877235,79
Jean-Philippe Mateta2023-09-23T14:00:00Z,Jean-Philippe Mateta,Crystal Palace,2.5531816576299877,49
Jhon Durán2023-09-24T13:00:00Z,Jhon Durán,Aston Villa,2.16285108417536,50
João Pedro Junqueira de Jesus2023-09-24T13:00:00Z,João Pedro Junqueira de Jesus,Brighton,3.398669563736062,54
Julián Álvarez2023-09-23T14:00:00Z,Julián Álvarez,Man City,5.758382885220479,68
Lyle Foster2023-09-23T19:00:00Z,Lyle Foster,Burnley,2.3385820177334806,50
Matheus Santos Carneiro Da Cunha2023-09-23T14:00:00Z,Matheus Santos Carneiro Da Cunha,Wolves,3.143023396615694,55
Michail Antonio2023-09-24T13:00:00Z,Michail Antonio,West Ham,2.4054652910485332,60
Nicolas Jackson2023-09-24T13:00:00Z,Nicolas Jackson,Chelsea,3.3874157000939267,70
Norberto Bercique Gomes Betuncal2023-09-23T16:30:00Z,Norberto Bercique Gomes Betuncal,Everton,3.0510857159780684,60
Odsonne Edouard2023-09-23T14:00:00Z,Odsonne Edouard,Crystal Palace,4.47584012644916,56
Ollie Watkins2023-09-24T13:00:00Z,Ollie Watkins,Aston Villa,4.826434150612653,79
Rasmus Højlund2023-09-23T19:00:00Z,Rasmus Højlund,Man Utd,3.5715455576497783,70
Raúl Jiménez2023-09-23T14:00:00Z,Raúl Jiménez,Fulham,2.6391452963889277,54
Taiwo Awoniyi2023-09-23T14:00:00Z,Taiwo Awoniyi,Nott'm Forest,2.8853222732865604,66
Yoane Wissa2023-09-23T16:30:00Z,Yoane Wissa,Brentford,3.4327457528461007,61
Zeki Amdouni2023-09-23T19:00:00Z,Zeki Amdouni,Burnley,2.057310714981488,54
