index,name,team,points,value
Aaron Ramsey2023-09-30T14:00:00Z,Aaron Ramsey,Burnley,1.8026586778029017,50
Abdoulaye Doucouré2023-09-30T14:00:00Z,Abdoulaye Doucouré,Everton,4.618560103741549,55
Adam Lallana2023-09-30T11:30:00Z,Adam Lallana,Brighton,1.9342760256032703,49
Adama Traoré2023-10-02T19:00:00Z,Adama Traoré,Fulham,2.1494037854366193,50
Albert Sambi Lokonga2023-09-30T14:00:00Z,Albert Sambi Lokonga,Luton,1.7866892815975477,49
Alex Iwobi2023-10-02T19:00:00Z,Alex Iwobi,Fulham,2.0379934113231486,54
Alexis Mac Allister2023-09-30T16:30:00Z,Alexis Mac Allister,Liverpool,2.840373056134328,59
Amadou Onana2023-09-30T14:00:00Z,Amadou Onana,Everton,2.7213697595091544,49
Andreas Hoelgebaum Pereira2023-10-02T19:00:00Z,Andreas Hoelgebaum Pereira,Fulham,3.569859609259391,55
Anis Slimane2023-09-30T14:00:00Z,Anis Slimane,Sheffield Utd,1.3995695846928895,48
Anssumane Fati Vieira2023-09-30T11:30:00Z,Anssumane Fati Vieira,Brighton,3.0471902887041042,65
Anthony Elanga2023-10-01T13:00:00Z,Anthony Elanga,Nott'm Forest,2.81380244495583,50
Anthony Gordon2023-09-30T14:00:00Z,Anthony Gordon,Newcastle,3.916628748263485,56
Antony Matheus dos Santos2023-09-30T14:00:00Z,Antony Matheus dos Santos,Man Utd,2.713911915807195,68
Arnaut Danjuma Groeneveld2023-09-30T14:00:00Z,Arnaut Danjuma Groeneveld,Everton,3.9942434643287346,55
Bernardo Veiga de Carvalho e Silva2023-09-30T14:00:00Z,Bernardo Veiga de Carvalho e Silva,Man City,3.9415905768623003,64
Billy Gilmour2023-09-30T11:30:00Z,Billy Gilmour,Brighton,3.125533642921317,49
Bobby De Cordova-Reid2023-10-02T19:00:00Z,Bobby De Cordova-Reid,Fulham,2.720869579837238,55
Boubacar Kamara2023-09-30T11:30:00Z,Boubacar Kamara,Aston Villa,2.852860429580612,50
