,name,team_x,minutes
1,Aaron Cresswell,West Ham,1
3,Aaron Hickey,Brentford,1
7,Aaron Wan-Bissaka,Man Utd,0
17,Adam Smith,Bournemouth,1
19,Adam Webster,Brighton,1
41,Alex Telles,Man Utd,0
59,Andrew Robertson,Liverpool,1
65,Angelo Ogbonna,West Ham,0
75,Antonee Robinson,Fulham,1
83,Armel Bella-Kotchap,Southampton,0
87,Arthur Masuaku,West Ham,0
89,Ashley Young,Aston Villa,0
93,Aymeric Laporte,Man City,0
97,Ben Chilwell,Chelsea,1
102,Ben Davies,Spurs,1
103,Ben Davies,Spurs,1
104,Ben Davies,Liverpool,0
105,Ben Davies,Liverpool,1
107,Ben Godfrey,Everton,0
109,Ben Johnson,West Ham,1
111,Ben Mee,Brentford,1
115,Benjamin White,Arsenal,1
135,Brandon Williams,Man Utd,0
157,Calum Chambers,Aston Villa,0
159,Calvin Ramsay,Liverpool,0
169,Charlie Goode,Brentford,0
177,Chris Mepham,Bournemouth,1
179,Chris Richards,Crystal Palace,0
191,Ciaran Clark,Newcastle,0
193,Clément Lenglet,Spurs,0
195,Cody Drameh,Leeds,0
201,Conor Coady,Everton,0
207,Craig Dawson,West Ham,0
209,Cristian Romero,Spurs,1
217,Cédric Alves Soares,Arsenal,0
219,César Azpilicueta,Chelsea,1
221,Dan Burn,Newcastle,1
225,Daniel Amartey,Leicester,1
251,Davinson Sánchez,Spurs,0
267,Diego Carlos Santos Silva,Aston Villa,1
269,Diego Llorente,Leeds,1
271,Diogo Dalot Teixeira,Man Utd,1
275,Djed Spence,Spurs,0
281,Dominic Thompson,Brentford,0
303,Emerson Leite de Souza Junior,Spurs,1
305,Emerson Palmieri dos Santos,Chelsea,0
307,Emil Krafth,Newcastle,0
319,Eric Bailly,Man Utd,0
321,Eric Dier,Spurs,1
325,Ethan Ampadu,Chelsea,0
327,Ethan Pinnock,Brentford,0
329,Ezri Konsa Ngoyo,Aston Villa,1
331,Fabian Schär,Newcastle,1
339,Federico Fernández,Newcastle,0
341,Fin Stevens,Brentford,0
353,Frédéric Guilbert,Aston Villa,0
363,Gabriel dos Santos Magalhães,Arsenal,1
369,Giulian Biancone,Nott'm Forest,0
379,Harrison Ashby,West Ham,0
387,Harry Maguire,Man Utd,1
389,Harry Toffolo,Nott'm Forest,1
401,Haydon Roberts,Brighton,0
403,Hugo Bueno López,Wolves,0
411,Ibrahima Konaté,Liverpool,0
417,Issa Diop,West Ham,0
421,Ivan Perišić,Spurs,1
433,Jack Stacey,Bournemouth,0
435,Jack Stephens,Southampton,0
453,Jamaal Lascelles,Newcastle,0
455,Jamal Lewis,Newcastle,0
461,James Hill,Bournemouth,0
463,James Justin,Leicester,1
473,James Tarkowski,Everton,1
475,James Tomkins,Crystal Palace,0
483,Jan Bednarek,Southampton,1
485,Jan Paul van Hecke,Brighton,0
487,Jannik Vestergaard,Leicester,0
489,Japhet Tanganga,Spurs,0
491,Jarrad Branthwaite,Everton,0
497,Javier Manquillo Gaitán,Newcastle,0
517,Joachim Andersen,Crystal Palace,1
521,Joe Bryan,Fulham,0
527,Joe Rodon,Spurs,0
533,Joe Worrall,Nott'm Forest,1
535,Joel Matip,Liverpool,1
537,Joel Ward,Crystal Palace,0
543,John Stones,Man City,0
545,Jonathan Castro Otto,Wolves,1
547,Jonathan Panzo,Nott'm Forest,0
551,Jonny Evans,Leicester,1
559,Jordan Zemura,Bournemouth,1
563,Joseph Gomez,Liverpool,0
571,Josh Wilson-Esbrand,Man City,0
575,João Cancelo,Man City,1
581,Joël Veltman,Brighton,1
587,Junior Firpo Adames,Leeds,0
595,Kaine Kesler Hayden,Aston Villa,0
597,Kalidou Koulibaly,Chelsea,1
613,Kenny Tete,Fulham,1
619,Kevin Mbabu,Fulham,0
623,Kieran Tierney,Arsenal,1
625,Kieran Trippier,Newcastle,1
631,Konstantinos Tsimikas,Liverpool,0
633,Kortney Hause,Aston Villa,0
635,Kristoffer Ajer,Brentford,0
639,Kurt Zouma,West Ham,1
641,Kyle Walker,Man City,1
643,Kyle Walker-Peters,Southampton,1
649,Leo Fuhr Hjelde,Leeds,0
653,Levi Colwill,Brighton,0
657,Lewis Brunt,Leicester,0
661,Lewis Dunk,Brighton,1
667,Liam Cooper,Leeds,0
