index,name,team_x,points,value
Matt Doherty2022-08-06 14:00:00+00:00,Matt Doherty,Spurs,9.039116249855077,50
Joel Matip2022-08-06 11:30:00+00:00,Joel Matip,Liverpool,6.249602402885915,60
Virgil van Dijk2022-08-06 11:30:00+00:00,Virgil van Dijk,Liverpool,5.868925662067602,65
Cristian Romero2022-08-06 14:00:00+00:00,Cristian Romero,Spurs,5.800210089781991,50
Trent Alexander-Arnold2022-08-06 11:30:00+00:00,Trent Alexander-Arnold,Liverpool,5.785298418424503,75
Ben Chilwell2022-08-06 16:30:00+00:00,Ben Chilwell,Chelsea,5.450266075739727,60
Davinson Sánchez2022-08-06 14:00:00+00:00,Davinson Sánchez,Spurs,5.414089680438783,45
Andrew Robertson2022-08-06 11:30:00+00:00,Andrew Robertson,Liverpool,5.336389019954161,70
Emerson Leite de Souza Junior2022-08-06 14:00:00+00:00,Emerson Leite de Souza Junior,Spurs,5.2058399728523375,50
Victor Lindelöf2022-08-07 13:00:00+00:00,Victor Lindelöf,Man Utd,5.12655825516249,45
Raphaël Varane2022-08-07 13:00:00+00:00,Raphaël Varane,Man Utd,4.964591353809502,50
Diogo Dalot Teixeira2022-08-07 13:00:00+00:00,Diogo Dalot Teixeira,Man Utd,4.88906097141985,45
Harry Maguire2022-08-07 13:00:00+00:00,Harry Maguire,Man Utd,4.880216214125155,50
Timothy Castagne2022-08-07 13:00:00+00:00,Timothy Castagne,Leicester,4.8793023863269545,45
Trevoh Chalobah2022-08-06 16:30:00+00:00,Trevoh Chalobah,Chelsea,4.828072315469128,50
Liam Cooper2022-08-06 14:00:00+00:00,Liam Cooper,Leeds,4.733035207842124,45
Luke Shaw2022-08-07 13:00:00+00:00,Luke Shaw,Man Utd,4.666885814795655,50
Alex Telles2022-08-07 13:00:00+00:00,Alex Telles,Man Utd,4.644273746875755,50
Sergio Reguilón2022-08-06 14:00:00+00:00,Sergio Reguilón,Spurs,4.634018511784024,45
Luke Thomas2022-08-07 13:00:00+00:00,Luke Thomas,Leicester,4.573094122593661,45
Tyrone Mings2022-08-06 14:00:00+00:00,Tyrone Mings,Aston Villa,4.413784292558369,45
Matty Cash2022-08-06 14:00:00+00:00,Matty Cash,Aston Villa,4.40884817494353,50
Pascal Struijk2022-08-06 14:00:00+00:00,Pascal Struijk,Leeds,4.3019945774108255,45
Aaron Wan-Bissaka2022-08-07 13:00:00+00:00,Aaron Wan-Bissaka,Man Utd,4.238832927784222,45
César Azpilicueta2022-08-06 16:30:00+00:00,César Azpilicueta,Chelsea,4.233646851080088,50
Ezri Konsa Ngoyo2022-08-06 14:00:00+00:00,Ezri Konsa Ngoyo,Aston Villa,4.196554647367223,45
Eric Dier2022-08-06 14:00:00+00:00,Eric Dier,Spurs,4.079902242923806,50
João Cancelo2022-08-07 15:30:00+00:00,João Cancelo,Man City,3.986809024755569,70
Luke Ayling2022-08-06 14:00:00+00:00,Luke Ayling,Leeds,3.98081969371668,45
Kurt Zouma2022-08-07 15:30:00+00:00,Kurt Zouma,West Ham,3.9692759525906607,45
Daniel Amartey2022-08-07 13:00:00+00:00,Daniel Amartey,Leicester,3.8878075005058235,45
Kieran Tierney2022-08-05 19:00:00+00:00,Kieran Tierney,Arsenal,3.766816758861324,50
Vladimir Coufal2022-08-07 15:30:00+00:00,Vladimir Coufal,West Ham,3.748338506404943,45
Takehiro Tomiyasu2022-08-05 19:00:00+00:00,Takehiro Tomiyasu,Arsenal,3.626724718362653,45
Çaglar Söyüncü2022-08-07 13:00:00+00:00,Çaglar Söyüncü,Leicester,3.580473071854419,45
Diego Llorente2022-08-06 14:00:00+00:00,Diego Llorente,Leeds,3.546405658246447,45
Sergi Canós Tenés2022-08-07 13:00:00+00:00,Sergi Canós Tenés,Brentford,3.4526702399372726,50
Aaron Cresswell2022-08-07 15:30:00+00:00,Aaron Cresswell,West Ham,3.2248790675590566,50
Reece James2022-08-06 16:30:00+00:00,Reece James,Chelsea,3.2083406646511476,60
Thiago Emiliano da Silva2022-08-06 16:30:00+00:00,Thiago Emiliano da Silva,Chelsea,3.156015985994412,55
Lucas Digne2022-08-06 14:00:00+00:00,Lucas Digne,Aston Villa,3.1457941725637237,50
Craig Dawson2022-08-07 15:30:00+00:00,Craig Dawson,West Ham,3.140161587159708,50
Pontus Jansson2022-08-07 13:00:00+00:00,Pontus Jansson,Brentford,3.0374434800489754,45
Jamaal Lascelles2022-08-06 14:00:00+00:00,Jamaal Lascelles,Newcastle,2.9975160768161837,45
Nélson Cabral Semedo2022-08-06 14:00:00+00:00,Nélson Cabral Semedo,Wolves,2.869193440817752,50
Stuart Dallas2022-08-06 14:00:00+00:00,Stuart Dallas,Leeds,2.8266120010260933,50
James Tarkowski2022-08-06 16:30:00+00:00,James Tarkowski,Everton,2.761953026008838,45
Marcos Alonso2022-08-06 16:30:00+00:00,Marcos Alonso,Chelsea,2.5135462374596393,55
Kristoffer Ajer2022-08-07 13:00:00+00:00,Kristoffer Ajer,Brentford,2.501491515667596,45
Ethan Pinnock2022-08-07 13:00:00+00:00,Ethan Pinnock,Brentford,2.472046748347379,45
Rayan Aït-Nouri2022-08-06 14:00:00+00:00,Rayan Aït-Nouri,Wolves,2.4173201770641604,45
Kyle Walker2022-08-07 15:30:00+00:00,Kyle Walker,Man City,2.3903329811045957,50
Fabian Schär2022-08-06 14:00:00+00:00,Fabian Schär,Newcastle,2.350660917124249,45
Mohammed Salisu2022-08-06 14:00:00+00:00,Mohammed Salisu,Southampton,2.3359106213499965,45
Marc Cucurella Saseta2022-08-07 13:00:00+00:00,Marc Cucurella Saseta,Brighton,2.3357283580836556,50
Conor Coady2022-08-06 14:00:00+00:00,Conor Coady,Wolves,2.3163461723098138,50
Tyrick Mitchell2022-08-05 19:00:00+00:00,Tyrick Mitchell,Crystal Palace,2.2942023650838173,45
Steve Cook2022-08-06 14:00:00+00:00,Steve Cook,Nott'm Forest,2.2056345783709634,45
Ben Godfrey2022-08-06 16:30:00+00:00,Ben Godfrey,Everton,2.176274028581233,45
Kyle Walker-Peters2022-08-06 14:00:00+00:00,Kyle Walker-Peters,Southampton,2.1746460016286235,45
Aymeric Laporte2022-08-07 15:30:00+00:00,Aymeric Laporte,Man City,2.111608950494727,60
Rúben Gato Alves Dias2022-08-07 15:30:00+00:00,Rúben Gato Alves Dias,Man City,2.096996017747134,60
Joel Ward2022-08-05 19:00:00+00:00,Joel Ward,Crystal Palace,2.037579411712967,45
Michael Keane2022-08-06 16:30:00+00:00,Michael Keane,Everton,1.989886208804813,45
Dan Burn2022-08-06 14:00:00+00:00,Dan Burn,Newcastle,1.9585774815183234,45
Jan Bednarek2022-08-06 14:00:00+00:00,Jan Bednarek,Southampton,1.9394870927351613,45
Marc Guéhi2022-08-05 19:00:00+00:00,Marc Guéhi,Crystal Palace,1.9014747924841986,45
