,name,team_x,minutes
11,Adam Armstrong,Southampton,1
31,Aleksandar Mitrović,Fulham,1
73,Anthony Martial,Man Utd,0
81,Armando Broja,Chelsea,1
139,Brennan Johnson,Nott'm Forest,1
149,Bryan Mbeumo,Brentford,1
155,Callum Wilson,Newcastle,1
161,Cameron Archer,Aston Villa,0
171,Che Adams,Southampton,0
181,Chris Wood,Newcastle,1
183,Christian Benteke,Crystal Palace,0
211,Cristiano Ronaldo dos Santos Aveiro,Man Utd,1
223,Dane Scarlett,Spurs,0
233,Danny Ings,Aston Villa,1
237,Danny Welbeck,Brighton,1
243,Darwin Núñez Ribeiro,Liverpool,1
263,Deniz Undav,Brighton,1
273,Diogo Teixeira da Silva,Liverpool,0
277,Dominic Calvert-Lewin,Everton,0
279,Dominic Solanke,Bournemouth,1
287,Dwight Gayle,Newcastle,0
293,Eddie Nketiah,Arsenal,1
323,Erling Haaland,Man City,1
335,Fabio Silva,Wolves,0
359,Gabriel Fernando de Jesus,Arsenal,1
367,Gianluca Scamacca,West Ham,1
375,Halil Dervişoğlu,Brentford,0
385,Harry Kane,Spurs,1
423,Ivan Toney,Brentford,1
481,Jamie Vardy,Leicester,1
499,Jay Stansfield,Fulham,0
503,Jean-Philippe Mateta,Crystal Palace,1
523,Joe Gelhardt,Leeds,1
583,Julio Enciso,Brighton,0
585,Julián Álvarez,Man City,1
593,Kai Havertz,Chelsea,1
609,Keinan Davis,Aston Villa,0
611,Kelechi Iheanacho,Leicester,0
621,Kieffer Moore,Bournemouth,1
669,Liam Delap,Man City,0
703,Luke Plange,Crystal Palace,0
711,Lyle Taylor,Nott'm Forest,0
737,Marcus Forss,Brentford,0
788,Michail Antonio,West Ham,1
838,Neal Maupay,Brighton,0
857,Odsonne Edouard,Crystal Palace,1
865,Ollie Watkins,Aston Villa,1
883,Patrick Bamford,Leeds,1
885,Patson Daka,Leicester,1
915,Raúl Jiménez,Wolves,0
927,Richarlison de Andrade,Spurs,0
943,Roberto Firmino,Liverpool,1
955,Rodrigo Muniz Carvalho,Fulham,0
983,Salomón Rondón,Everton,0
985,Sam Greenwood,Leeds,0
989,Sam Surridge,Nott'm Forest,1
1039,Sékou Mara,Southampton,0
1041,Taiwo Awoniyi,Nott'm Forest,1
1065,Timo Werner,Chelsea,0
1087,Troy Parrott,Spurs,0
