index,name,team_x,points,value
Harry Kane2022-08-06 14:00:00+00:00,Harry Kane,Spurs,7.902391233144068,115
Richarlison de Andrade2022-08-06 14:00:00+00:00,Richarlison de Andrade,Spurs,6.399779452616216,85
Cristiano Ronaldo dos Santos Aveiro2022-08-07 13:00:00+00:00,Cristiano Ronaldo dos Santos Aveiro,Man Utd,6.329043761291527,105
Diogo Teixeira da Silva2022-08-06 11:30:00+00:00,Diogo Teixeira da Silva,Liverpool,5.7708920869536735,90
Ollie Watkins2022-08-06 14:00:00+00:00,Ollie Watkins,Aston Villa,5.4328017181228745,75
Jamie Vardy2022-08-07 13:00:00+00:00,Jamie Vardy,Leicester,5.187587319605887,95
Danny Ings2022-08-06 14:00:00+00:00,Danny Ings,Aston Villa,4.116887225360766,70
Kai Havertz2022-08-06 16:30:00+00:00,Kai Havertz,Chelsea,3.99204879924214,80
Ivan Toney2022-08-07 13:00:00+00:00,Ivan Toney,Brentford,3.9875978842146975,70
Chris Wood2022-08-06 14:00:00+00:00,Chris Wood,Newcastle,3.896633419409577,60
Gabriel Fernando de Jesus2022-08-05 19:00:00+00:00,Gabriel Fernando de Jesus,Arsenal,3.8208553393105458,80
Callum Wilson2022-08-06 14:00:00+00:00,Callum Wilson,Newcastle,3.44482453624285,75
Raúl Jiménez2022-08-06 14:00:00+00:00,Raúl Jiménez,Wolves,3.3232984481547914,70
Kelechi Iheanacho2022-08-07 13:00:00+00:00,Kelechi Iheanacho,Leicester,3.2687336378854925,65
Armando Broja2022-08-06 16:30:00+00:00,Armando Broja,Chelsea,3.1305017636650847,55
Michail Antonio2022-08-07 15:30:00+00:00,Michail Antonio,West Ham,3.1104726462358374,75
Danny Welbeck2022-08-07 13:00:00+00:00,Danny Welbeck,Brighton,2.9609776986099376,65
Bryan Mbeumo2022-08-07 13:00:00+00:00,Bryan Mbeumo,Brentford,2.844054574676207,60
Brennan Johnson2022-08-06 14:00:00+00:00,Brennan Johnson,Nott'm Forest,2.831330311399401,60
Taiwo Awoniyi2022-08-06 14:00:00+00:00,Taiwo Awoniyi,Nott'm Forest,2.831330311399401,60
Kieffer Moore2022-08-06 14:00:00+00:00,Kieffer Moore,Bournemouth,2.773210539679134,55
Neal Maupay2022-08-07 13:00:00+00:00,Neal Maupay,Brighton,2.7152049549409454,65
Che Adams2022-08-06 14:00:00+00:00,Che Adams,Southampton,2.636421253081307,65
Dominic Solanke2022-08-06 14:00:00+00:00,Dominic Solanke,Bournemouth,2.4499201231817307,60
Aleksandar Mitrović2022-08-06 11:30:00+00:00,Aleksandar Mitrović,Fulham,2.4328823976250065,65
Joe Gelhardt2022-08-06 14:00:00+00:00,Joe Gelhardt,Leeds,2.3827071292274358,55
Rodrigo Muniz Carvalho2022-08-06 11:30:00+00:00,Rodrigo Muniz Carvalho,Fulham,2.335660958777055,55
Deniz Undav2022-08-07 13:00:00+00:00,Deniz Undav,Brighton,2.311451019032838,55
Odsonne Edouard2022-08-05 19:00:00+00:00,Odsonne Edouard,Crystal Palace,2.3012414481012957,55
Patson Daka2022-08-07 13:00:00+00:00,Patson Daka,Leicester,2.2969392135540017,60
Dominic Calvert-Lewin2022-08-06 16:30:00+00:00,Dominic Calvert-Lewin,Everton,2.268027228861149,80
Adam Armstrong2022-08-06 14:00:00+00:00,Adam Armstrong,Southampton,1.8214082451376254,55
Christian Benteke2022-08-05 19:00:00+00:00,Christian Benteke,Crystal Palace,1.6761300591060113,55
Jean-Philippe Mateta2022-08-05 19:00:00+00:00,Jean-Philippe Mateta,Crystal Palace,1.6630362436067938,55
