,name,team_x,minutes
1,Bernd Leno,Arsenal,0
14,Aaron Ramsdale,Arsenal,1
23,Matt Turner,Arsenal,0
30,Emiliano Martínez Romero,Aston Villa,1
34,Robin Olsen,Aston Villa,0
72,Mark Travers,Bournemouth,0
77,Will Dennis,Bournemouth,0
82,David Raya Martin,Brentford,1
101,Ellery Balcombe,Brentford,0
104,Thomas Strakosha,Brentford,0
107,Jason Steele,Brighton,0
118,Robert Sánchez,Brighton,1
138,Kepa Arrizabalaga,Chelsea,0
152,Edouard Mendy,Chelsea,1
159,Vicente Guaita,Crystal Palace,1
169,Jack Butland,Crystal Palace,0
182,Sam Johnstone,Crystal Palace,1
183,Remi Matthews,Crystal Palace,0
186,Asmir Begović,Everton,0
192,Jordan Pickford,Everton,1
217,Paulo Gazzaniga Farias,Fulham,0
223,Marek Rodák,Fulham,0
233,Kasper Schmeichel,Leicester,1
239,Danny Ward,Leicester,0
274,Kristoffer Klaesson,Leeds,0
276,Illan Meslier,Leeds,1
295,Alisson Ramses Becker,Liverpool,1
303,Caoimhin Kelleher,Liverpool,0
312,Adrián San Miguel del Castillo,Liverpool,0
325,Ederson Santana de Moraes,Man City,1
328,Zack Steffen,Man City,0
341,Stefan Ortega Moreno,Man City,0
343,Scott Carson,Man City,0
345,David De Gea Quintana,Man Utd,1
365,Tom Heaton,Man Utd,0
372,Karl Darlow,Newcastle,0
374,Martin Dubravka,Newcastle,1
395,Nick Pope,Newcastle,1
402,Brice Samba,Nott'm Forest,0
418,Dean Henderson,Nott'm Forest,0
422,Wayne Hennessey,Nott'm Forest,0
428,Alex McCarthy,Southampton,0
448,Mateusz Lis,Southampton,0
449,Gavin Bazunu,Southampton,0
451,Willy Caballero,Southampton,0
453,Hugo Lloris,Spurs,1
454,Fraser Forster,Spurs,0
480,Brandon Austin,Spurs,0
486,Lukasz Fabianski,West Ham,1
504,Alphonse Areola,West Ham,0
510,José Malheiro de Sá,Wolves,1
524,Matija Šarkić,Wolves,0
