index,name,team_x,points,value
Illan Meslier2022-08-06 14:00:00+00:00,Illan Meslier,Leeds,3.9311973194861354,45
Alisson Ramses Becker2022-08-06 11:30:00+00:00,Alisson Ramses Becker,Liverpool,3.8024627209612847,55
Nick Pope2022-08-06 14:00:00+00:00,Nick Pope,Newcastle,3.7735940016862592,50
Emiliano Martínez Romero2022-08-06 14:00:00+00:00,Emiliano Martínez Romero,Aston Villa,3.681924588319405,50
David De Gea Quintana2022-08-07 13:00:00+00:00,David De Gea Quintana,Man Utd,3.644550650862597,50
José Malheiro de Sá2022-08-06 14:00:00+00:00,José Malheiro de Sá,Wolves,3.606909621553675,50
Kasper Schmeichel2022-08-07 13:00:00+00:00,Kasper Schmeichel,Leicester,3.521917213509731,50
Hugo Lloris2022-08-06 14:00:00+00:00,Hugo Lloris,Spurs,3.4513544390914497,55
Martin Dubravka2022-08-06 14:00:00+00:00,Martin Dubravka,Newcastle,3.2686722252973683,45
Aaron Ramsdale2022-08-05 19:00:00+00:00,Aaron Ramsdale,Arsenal,3.255573561986917,50
Jordan Pickford2022-08-06 16:30:00+00:00,Jordan Pickford,Everton,3.2519800907319145,45
Robert Sánchez2022-08-07 13:00:00+00:00,Robert Sánchez,Brighton,3.2407654966085624,45
Ederson Santana de Moraes2022-08-07 15:30:00+00:00,Ederson Santana de Moraes,Man City,3.107324842662831,55
David Raya Martin2022-08-07 13:00:00+00:00,David Raya Martin,Brentford,3.0730135618285748,45
Edouard Mendy2022-08-06 16:30:00+00:00,Edouard Mendy,Chelsea,3.061752484154351,50
Vicente Guaita2022-08-05 19:00:00+00:00,Vicente Guaita,Crystal Palace,2.7269605458351776,45
Lukasz Fabianski2022-08-07 15:30:00+00:00,Lukasz Fabianski,West Ham,2.711411613344943,50
Sam Johnstone2022-08-05 19:00:00+00:00,Sam Johnstone,Crystal Palace,2.5899988962012883,45
