,name,team_x,minutes
2,Granit Xhaka,Arsenal,1
3,Mohamed Elneny,Arsenal,0
5,Thomas Partey,Arsenal,1
6,Martin Ødegaard,Arsenal,1
8,Nicolas Pépé,Arsenal,0
11,Emile Smith Rowe,Arsenal,1
12,Bukayo Saka,Arsenal,1
17,Albert Sambi Lokonga,Arsenal,0
18,Gabriel Martinelli Silva,Arsenal,1
20,Ainsley Maitland-Niles,Arsenal,0
21,Lucas Torreira di Pascua,Arsenal,0
22,Reiss Nelson,Arsenal,0
24,Fábio Ferreira Vieira,Arsenal,1
26,Marcus Oliveira Alencar,Arsenal,0
28,Philippe Coutinho Correia,Aston Villa,1
33,Bertrand Traoré,Aston Villa,0
35,Morgan Sanson,Aston Villa,0
36,John McGinn,Aston Villa,1
40,Marvelous Nakamba,Aston Villa,0
41,Emiliano Buendía Stati,Aston Villa,1
44,Leon Bailey,Aston Villa,0
45,Douglas Luiz Soares de Paulo,Aston Villa,1
46,Jacob Ramsey,Aston Villa,1
47,Carney Chukwuemeka,Aston Villa,0
48,Tim Iroegbunam,Aston Villa,0
50,Anwar El Ghazi,Aston Villa,0
52,Boubacar Kamara,Aston Villa,0
54,Jaden Philogene-Bidace,Aston Villa,0
58,Junior Stanislas,Bournemouth,1
60,David Brooks,Bournemouth,0
61,Jamal Lowe,Bournemouth,1
63,Emiliano Marcondes,Bournemouth,0
64,Jefferson Lerma Solís,Bournemouth,1
67,Lewis Cook,Bournemouth,1
68,Ben Pearson,Bournemouth,0
69,Ryan Christie,Bournemouth,1
70,Philip Billing,Bournemouth,1
74,Siriki Dembélé,Bournemouth,0
75,Jaidon Anthony,Bournemouth,1
78,Joe Rothwell,Bournemouth,0
80,Christian Nørgaard,Brentford,1
84,Josh Dasilva,Brentford,0
87,Vitaly Janelt,Brentford,1
88,Saman Ghoddos,Brentford,0
89,Mathias Jensen,Brentford,0
90,Yoane Wissa,Brentford,1
94,Frank Onyeka,Brentford,1
95,Shandon Baptiste,Brentford,1
100,Mads Bidstrup,Brentford,0
103,Keane Lewis-Potter,Brentford,1
106,Adam Lallana,Brighton,0
109,Pascal Groß,Brighton,1
112,Solly March,Brighton,0
116,Leandro Trossard,Brighton,1
120,Steven Alzate,Brighton,0
121,Alexis Mac Allister,Brighton,1
122,Jakub Moder,Brighton,0
123,Enock Mwepu,Brighton,1
124,Jeremy Sarmiento Morante,Brighton,0
125,Moisés Caicedo Corozo,Brighton,0
126,Taylor Richards,Brighton,0
129,Kaoru Mitoma,Brighton,0
131,Kacper Kozłowski,Brighton,0
135,Jorge Luiz Frello Filho,Chelsea,1
136,Ross Barkley,Chelsea,0
