index,name,team_x,points,value
Mohamed Salah2022-08-06 11:30:00+00:00,Mohamed Salah,Liverpool,13.398682454618775,130
Son Heung-min2022-08-06 14:00:00+00:00,Son Heung-min,Spurs,10.476534660019642,120
Kevin De Bruyne2022-08-07 15:30:00+00:00,Kevin De Bruyne,Man City,5.608232906237222,120
Bruno Borges Fernandes2022-08-07 13:00:00+00:00,Bruno Borges Fernandes,Man Utd,5.52970238069936,100
Bukayo Saka2022-08-05 19:00:00+00:00,Bukayo Saka,Arsenal,4.891290954773624,80
Raheem Sterling2022-08-06 16:30:00+00:00,Raheem Sterling,Chelsea,4.628458040252915,100
Jarrod Bowen2022-08-07 15:30:00+00:00,Jarrod Bowen,West Ham,4.467538074918747,85
James Maddison2022-08-07 13:00:00+00:00,James Maddison,Leicester,4.296739080713996,80
Mason Mount2022-08-06 16:30:00+00:00,Mason Mount,Chelsea,3.9482154805331775,80
Luis Díaz2022-08-06 11:30:00+00:00,Luis Díaz,Liverpool,3.8453537117464327,80
Raphael Dias Belloli2022-08-06 14:00:00+00:00,Raphael Dias Belloli,Leeds,3.7609750443976977,70
James Ward-Prowse2022-08-06 14:00:00+00:00,James Ward-Prowse,Southampton,3.6905020302937332,65
Wilfried Zaha2022-08-05 19:00:00+00:00,Wilfried Zaha,Crystal Palace,3.618467008076793,70
Allan Saint-Maximin2022-08-06 14:00:00+00:00,Allan Saint-Maximin,Newcastle,3.529560068109678,65
Bernardo Veiga de Carvalho e Silva2022-08-07 15:30:00+00:00,Bernardo Veiga de Carvalho e Silva,Man City,3.515103550494992,70
Jack Grealish2022-08-07 15:30:00+00:00,Jack Grealish,Man City,3.5107079812588964,70
Riyad Mahrez2022-08-07 15:30:00+00:00,Riyad Mahrez,Man City,3.5005500167882375,80
Harvey Barnes2022-08-07 13:00:00+00:00,Harvey Barnes,Leicester,3.4946483639685137,70
Ilkay Gündogan2022-08-07 15:30:00+00:00,Ilkay Gündogan,Man City,3.4664729893735715,75
Phil Foden2022-08-07 15:30:00+00:00,Phil Foden,Man City,3.4435820688347625,80
Jadon Sancho2022-08-07 13:00:00+00:00,Jadon Sancho,Man Utd,3.4414999709550065,75
Dejan Kulusevski2022-08-06 14:00:00+00:00,Dejan Kulusevski,Spurs,3.4063013452460718,80
Philippe Coutinho Correia2022-08-06 14:00:00+00:00,Philippe Coutinho Correia,Aston Villa,3.345338105254215,70
Leandro Trossard2022-08-07 13:00:00+00:00,Leandro Trossard,Brighton,3.3089823795468103,65
Martin Ødegaard2022-08-05 19:00:00+00:00,Martin Ødegaard,Arsenal,3.2087832034719126,65
